# x,ne,Te,Ti,Wtot,Wpart,Wrad,Wpls,Wneut,xMP,Rclfc,Zclfc,Wpar_xpt,WWpar,WWtrg,Lcnnt,Lcnnx,f0,D_flux_atm,D_temp_atm,D_pres_atm,He_flux_atm,He_temp_atm,He_pres_atm,Ne_flux_atm,Ne_temp_atm,Ne_pres_atm,D_flux_ion,He_flux_ion,Ne_flux_ion,D2_flux_mol,D2_pres_mol
-1.035299999999999970e-01,9.729800000000000000e+18,1.883499999999999897e-01,1.711100000000000121e-01,1.112000000000000000e+05,3.885300000000000000e+04,7.234500000000000000e+04,4.265699999999999818e+03,3.458700000000000000e+04,-3.123299999999999965e-01,5.554299999999999571e+00,-4.496299999999999741e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,2.359839999999999790e+22,5.841809999999999503e-01,5.209390000000000409e-01,6.290720000000000000e+19,5.542890000000000317e-02,1.042050000000000094e-03,7.134979999999999345e+20,1.114789999999999948e-01,4.416629999999999862e-02,1.637800000000000000e+21,1.539300000000000000e+19,2.187880000000000000e+19,3.579830000000000317e+23,1.132370000000000054e+01
-9.205699999999999994e-02,1.775900000000000000e+19,1.503500000000000114e-01,1.474100000000000132e-01,9.893800000000000000e+04,1.889700000000000000e+04,8.004100000000000000e+04,6.957600000000000364e+03,1.193900000000000000e+04,-2.928399999999999892e-01,5.554299999999999571e+00,-4.484899999999999665e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,1.751809999999999987e+22,2.010359999999999925e-01,3.024470000000000214e-01,6.332470000000000000e+19,2.875650000000000150e-01,3.028649999999999919e-03,5.713220000000000000e+20,1.590870000000000062e-01,4.199180000000000273e-02,2.747459999999999869e+21,2.104300000000000000e+19,2.981810000000000000e+19,3.896639999999999916e+23,1.449649999999999928e+01
-8.064300000000000634e-02,4.205000000000000000e+19,1.765700000000000047e-01,1.779699999999999893e-01,1.289500000000000000e+05,4.047000000000000000e+04,8.847800000000000000e+04,1.758800000000000000e+04,2.288200000000000000e+04,-2.724699999999999900e-01,5.554299999999999571e+00,-4.473499999999999588e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,1.906260000000000000e+20,1.323350000000000082e-01,1.661989999999999908e-03,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,6.451260000000000655e+20,1.407490000000000130e-01,5.350309999999999788e-02,7.056600000000000262e+21,3.997340000000000000e+19,5.633360000000000000e+19,3.202689999999999987e+23,9.481439999999999202e+00
-6.943299999999999472e-02,7.464100000000000000e+19,2.498100000000000043e-01,2.520000000000000018e-01,1.585200000000000000e+05,6.117500000000000000e+04,9.734700000000000000e+04,3.844300000000000000e+04,2.273200000000000000e+04,-2.511800000000000144e-01,5.554299999999999571e+00,-4.462200000000000166e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,3.280129999999999672e+20,3.426819999999999866e-01,1.611329999999999985e-01,0.000000000000000000e+00,1.840360000000000051e-01,3.406799999999999976e-04,5.988840000000000000e+20,1.827580000000000038e-01,5.421639999999999793e-02,1.521270000000000066e+22,6.428060000000000000e+19,8.956340000000000000e+19,3.468979999999999827e+23,1.341479999999999961e+01
-5.850899999999999851e-02,1.077800000000000000e+20,2.755099999999999771e-01,2.761100000000000221e-01,2.215100000000000000e+05,1.145100000000000000e+05,1.070000000000000000e+05,5.676300000000000000e+04,5.774900000000000000e+04,-2.292599999999999916e-01,5.554299999999999571e+00,-4.451299999999999812e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,5.514939999999999607e+22,1.961660000000000070e-01,3.477310000000000123e-01,3.346760000000000000e+19,1.730260000000000131e-01,1.751090000000000068e-03,4.728209999999999672e+20,2.066560000000000064e-01,5.443640000000000284e-02,2.261550000000000118e+22,7.163360000000000000e+19,9.806760000000000000e+19,2.887309999999999908e+23,1.102829999999999977e+01
-4.802300000000000318e-02,2.005200000000000000e+20,3.810499999999999998e-01,3.881800000000000250e-01,3.991400000000000000e+05,2.809900000000000000e+05,1.181400000000000000e+05,1.278000000000000000e+05,1.531900000000000000e+05,-2.066000000000000059e-01,5.554299999999999571e+00,-4.440800000000000303e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,2.926440000000000157e+22,7.562729999999999730e-01,1.255779999999999896e+00,3.566340000000000000e+19,2.944010000000000238e-01,8.323370000000000508e-04,6.063190000000000328e+20,1.817380000000000106e-01,5.585760000000000031e-02,4.934850000000000406e+22,1.333940000000000000e+20,1.779930000000000000e+20,3.455440000000000315e+23,1.611570000000000036e+01
-3.810600000000000098e-02,3.102600000000000000e+20,4.061299999999999910e-01,4.054499999999999771e-01,4.311700000000000000e+05,2.989500000000000000e+05,1.322200000000000000e+05,2.033200000000000000e+05,9.563400000000000000e+04,-1.827999999999999903e-01,5.554299999999999571e+00,-4.430900000000000283e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,7.052439999999999843e+22,7.891219999999999901e-01,1.170069999999999943e+00,0.000000000000000000e+00,6.768720000000000292e-01,9.716910000000000044e-04,3.261600000000000000e+20,2.703969999999999985e-01,4.863429999999999837e-02,7.815669999999999227e+22,2.008830000000000000e+20,2.588450000000000000e+20,5.649559999999999675e+23,2.631490000000000151e+01
-2.885499999999999871e-02,4.656600000000000000e+20,4.564400000000000124e-01,4.541799999999999726e-01,7.153500000000000000e+05,5.617400000000000000e+05,1.536100000000000000e+05,3.262700000000000000e+05,2.354800000000000000e+05,-1.582600000000000118e-01,5.554299999999999571e+00,-4.421700000000000408e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,8.171270000000000800e+22,5.474489999999999634e-01,3.506540000000000212e+00,8.207440000000000000e+19,9.810449999999999449e-01,2.896489999999999829e-03,4.771640000000000000e+20,2.955900000000000194e-01,7.794810000000000627e-02,1.228410000000000039e+23,3.218249999999999672e+20,3.971369999999999672e+20,5.944889999999999788e+23,3.591320000000000334e+01
-2.054500000000000076e-02,6.069100000000000655e+20,4.655299999999999994e-01,4.583099999999999952e-01,1.083900000000000000e+06,8.951200000000000000e+05,1.887900000000000000e+05,4.220300000000000000e+05,4.730800000000000000e+05,-1.325900000000000134e-01,5.554299999999999571e+00,-4.413400000000000212e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,1.656100000000000100e+23,7.521879999999999677e-01,4.012540000000000440e+00,4.643050000000000000e+19,8.820890000000000120e-01,2.330379999999999951e-03,8.539510000000000328e+20,2.925010000000000110e-01,1.062109999999999999e-01,1.585969999999999840e+23,4.467049999999999672e+20,5.241620000000000000e+20,8.163379999999999995e+23,4.564030000000000342e+01
-1.319299999999999987e-02,8.470300000000000655e+20,5.244299999999999518e-01,5.178500000000000325e-01,1.553900000000000000e+06,1.319200000000000000e+06,2.346300000000000000e+05,6.117200000000000000e+05,7.075100000000000000e+05,-1.053299999999999931e-01,5.554299999999999571e+00,-4.405999999999999694e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,1.350370000000000029e+23,7.484870000000000134e-01,6.206459999999999866e+00,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,7.240529999999999672e+20,2.827080000000000148e-01,1.344720000000000082e-01,2.296409999999999913e+23,6.968179999999999345e+20,7.757340000000000655e+20,1.136869999999999936e+24,6.872150000000000603e+01
