# x,ne,Te,Ti,Wtot,Wpart,Wrad,Wpls,Wneut,xMP,Rclfc,Zclfc,Wpar_xpt,WWpar,WWtrg,Lcnnt,Lcnnx,f0,D_flux_atm,D_temp_atm,D_pres_atm,He_flux_atm,He_temp_atm,He_pres_atm,Ne_flux_atm,Ne_temp_atm,Ne_pres_atm,D_flux_ion,He_flux_ion,Ne_flux_ion,D2_flux_mol,D2_pres_mol
-8.920699999999999463e-02,1.528900000000000000e+18,1.085900000000000060e-01,8.025400000000000589e-02,1.656800000000000000e+05,1.910900000000000000e+04,1.465700000000000000e+05,5.385900000000000318e+02,1.857000000000000000e+04,-3.123299999999999965e-01,4.179599999999999760e+00,-3.883900000000000130e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,3.283520000000000000e+22,1.469789999999999985e-01,2.689549999999999996e-01,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,6.797710000000000328e+20,1.135840000000000044e-01,4.138479999999999936e-02,2.030750000000000000e+20,1.355940000000000000e+18,4.130740000000000000e+18,2.537000000000000073e+23,8.529519999999999769e+00
-7.914200000000000401e-02,6.387300000000000000e+18,1.720200000000000062e-01,2.545999999999999930e-01,1.662400000000000000e+05,8.221100000000000364e+03,1.580200000000000000e+05,3.440599999999999909e+03,4.780399999999999636e+03,-2.928399999999999892e-01,4.184000000000000163e+00,-3.874899999999999789e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,1.023810000000000000e+20,3.434070000000000178e-01,7.947209999999999691e-04,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,5.143550000000000328e+20,1.162929999999999936e-01,4.116729999999999695e-02,1.305320000000000000e+21,6.099450000000000000e+18,1.855270000000000000e+19,3.954789999999999835e+23,1.117210000000000036e+01
-6.914499999999999813e-02,1.609000000000000000e+19,1.444900000000000073e-01,1.433200000000000029e-01,2.140100000000000000e+05,4.326600000000000000e+04,1.707500000000000000e+05,6.732899999999999636e+03,3.653300000000000000e+04,-2.724699999999999900e-01,4.188399999999999679e+00,-3.865899999999999892e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,2.559440000000000048e-01,1.284079999999999944e-04,2.573070000000000000e+19,1.649529999999999885e-01,1.923720000000000074e-03,4.207790000000000328e+20,1.493710000000000038e-01,3.302320000000000255e-02,2.701959999999999738e+21,8.866850000000000000e+18,2.685340000000000000e+19,3.861169999999999672e+23,1.147659999999999947e+01
-5.935200000000000198e-02,3.946600000000000000e+19,1.517999999999999905e-01,1.516699999999999993e-01,2.418300000000000000e+05,5.456600000000000000e+04,1.872600000000000000e+05,1.708700000000000000e+04,3.747900000000000000e+04,-2.511800000000000144e-01,4.192700000000000315e+00,-3.857099999999999973e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,1.169289999999999934e+22,2.918370000000000131e-01,9.686430000000000040e-02,2.663570000000000000e+19,1.209119999999999973e+00,4.111209999999999691e-03,2.756100000000000000e+20,1.682400000000000007e-01,2.081109999999999904e-02,6.998139999999999607e+21,1.570940000000000000e+19,4.713640000000000000e+19,3.261470000000000307e+23,1.589329999999999998e+01
-4.989699999999999691e-02,7.267500000000000000e+19,2.530600000000000072e-01,2.614400000000000057e-01,3.067500000000000000e+05,1.003000000000000000e+05,2.064500000000000000e+05,4.180700000000000000e+04,5.849500000000000000e+04,-2.292599999999999916e-01,4.196799999999999642e+00,-3.848599999999999799e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,8.258170000000000000e+19,3.768670000000000075e-01,5.137140000000000040e-01,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,2.836150000000000000e+20,2.233350000000000057e-01,2.838399999999999951e-02,1.682620000000000026e+22,2.720660000000000000e+19,8.045970000000000000e+19,3.987149999999999824e+23,1.425290000000000035e+01
-4.083099999999999924e-02,1.150000000000000000e+20,2.698900000000000188e-01,2.725400000000000045e-01,4.398100000000000000e+05,2.114800000000000000e+05,2.283300000000000000e+05,6.692300000000000000e+04,1.445500000000000000e+05,-2.066000000000000059e-01,4.200800000000000090e+00,-3.840500000000000025e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,1.365830000000000045e+23,2.887890000000000179e-01,2.271900000000000031e+00,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,2.576770000000000000e+20,2.077080000000000037e-01,3.203419999999999879e-02,2.723469999999999908e+22,3.722110000000000000e+19,1.079170000000000000e+20,5.500010000000000144e+23,2.704540000000000077e+01
-3.232800000000000257e-02,1.955000000000000000e+20,3.306700000000000195e-01,3.280399999999999983e-01,6.350600000000000000e+05,3.765400000000000000e+05,2.585200000000000000e+05,1.285100000000000000e+05,2.480300000000000000e+05,-1.827999999999999903e-01,4.204500000000000348e+00,-3.832800000000000207e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,5.270169999999999830e+22,3.101729999999999765e-01,1.563660000000000050e+00,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,3.786950000000000328e+20,2.599540000000000184e-01,4.919079999999999980e-02,5.092129999999999777e+22,6.430710000000000000e+19,1.820390000000000000e+20,7.723330000000000071e+23,3.278390000000000271e+01
-2.450499999999999901e-02,3.172200000000000000e+20,3.854500000000000148e-01,3.883900000000000130e-01,9.640500000000000000e+05,6.633600000000000000e+05,3.006900000000000000e+05,2.294400000000000000e+05,4.339200000000000000e+05,-1.582600000000000118e-01,4.208000000000000185e+00,-3.825800000000000090e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,7.202489999999999620e+22,4.521979999999999889e-01,2.354769999999999808e+00,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,4.989209999999999672e+20,2.972389999999999755e-01,7.226789999999999603e-02,8.927460000000000184e+22,1.153550000000000000e+20,3.170280000000000000e+20,8.256829999999999761e+23,5.682780000000000342e+01
-1.738299999999999915e-02,4.306500000000000000e+20,4.379899999999999904e-01,4.440399999999999903e-01,1.080300000000000000e+06,7.268900000000000000e+05,3.533900000000000000e+05,3.340800000000000000e+05,3.928100000000000000e+05,-1.325900000000000134e-01,4.211100000000000065e+00,-3.819399999999999906e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,2.571620000000000016e+23,9.089399999999999702e-01,1.058060000000000045e+01,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,5.389740000000000000e+20,3.472930000000000184e-01,1.024169999999999942e-01,1.264669999999999971e+23,1.781330000000000000e+20,4.720700000000000000e+20,1.381070000000000093e+24,8.633159999999999457e+01
-1.111700000000000015e-02,5.207500000000000000e+20,4.424100000000000255e-01,4.376900000000000235e-01,1.519200000000000000e+06,1.092600000000000000e+06,4.266800000000000000e+05,4.024400000000000000e+05,6.901200000000000000e+05,-1.053299999999999931e-01,4.213799999999999990e+00,-3.813800000000000079e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,6.457930000000000354e+23,6.369280000000000497e-01,3.099609999999999843e+01,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,1.016190000000000066e+21,3.252109999999999723e-01,1.311970000000000081e-01,1.514169999999999955e+23,2.422530000000000000e+20,6.150510000000000328e+20,2.024679999999999956e+24,1.174129999999999967e+02
