# x,ne,Te,Ti,Wtot,Wpart,Wrad,Wpls,Wneut,xMP,Rclfc,Zclfc,Wpar_xpt,WWpar,WWtrg,Lcnnt,Lcnnx,f0,D_flux_atm,D_temp_atm,D_pres_atm,He_flux_atm,He_temp_atm,He_pres_atm,Ne_flux_atm,Ne_temp_atm,Ne_pres_atm,D_flux_ion,He_flux_ion,Ne_flux_ion,D2_flux_mol,D2_pres_mol
-8.920699999999999463e-02,3.603000000000000000e+18,1.037600000000000050e-01,1.063599999999999962e-01,1.483200000000000000e+05,1.348400000000000000e+04,1.348300000000000000e+05,1.353200000000000045e+03,1.213100000000000000e+04,-3.123299999999999965e-01,4.179599999999999760e+00,-3.883900000000000130e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,9.734030000000000328e+21,2.589730000000000087e-01,8.606729999999999936e-02,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,1.007070000000000066e+21,1.220500000000000057e-01,6.500889999999999447e-02,5.069750000000000328e+20,1.520000000000000000e+19,7.180520000000000000e+18,5.010219999999999712e+23,1.462630000000000052e+01
-7.914200000000000401e-02,1.198800000000000000e+19,1.516299999999999870e-01,1.514900000000000135e-01,1.583600000000000000e+05,1.310400000000000000e+04,1.452600000000000000e+05,5.392600000000000364e+03,7.711600000000000364e+03,-2.928399999999999892e-01,4.184000000000000163e+00,-3.874899999999999789e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,2.956820000000000000e+19,1.151080000000000020e-01,4.617569999999999769e-04,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,5.325350000000000328e+20,1.435140000000000027e-01,3.590129999999999710e-02,2.070790000000000066e+21,4.511470000000000000e+19,2.122250000000000000e+19,3.757209999999999830e+23,1.066530000000000022e+01
-6.914499999999999813e-02,2.841200000000000000e+19,1.582999999999999963e-01,1.541099999999999970e-01,1.857500000000000000e+05,2.935000000000000000e+04,1.564000000000000000e+05,1.305300000000000000e+04,1.629700000000000000e+04,-2.724699999999999900e-01,4.188399999999999679e+00,-3.865899999999999892e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,5.053540000000000393e+21,4.227389999999999759e-01,5.096090000000000342e-02,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,5.795929999999999672e+20,1.436820000000000042e-01,4.023560000000000331e-02,5.185420000000000131e+21,7.605330000000000000e+19,3.530680000000000000e+19,2.518980000000000058e+23,8.321590000000000487e+00
-5.935200000000000198e-02,4.374800000000000000e+19,2.111099999999999921e-01,2.088500000000000079e-01,2.356100000000000000e+05,6.591200000000000000e+04,1.697000000000000000e+05,2.283000000000000000e+04,4.308200000000000000e+04,-2.511800000000000144e-01,4.192700000000000315e+00,-3.857099999999999973e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,6.238720000000000000e+22,4.941960000000000242e-01,9.271179999999999977e-01,3.072800000000000000e+19,6.125680000000000014e-01,1.897779999999999953e-03,3.385129999999999672e+20,1.807410000000000128e-01,2.651409999999999878e-02,9.107440000000000524e+21,9.720630000000000000e+19,4.419920000000000000e+19,2.408250000000000123e+23,9.795980000000000132e+00
-4.989699999999999691e-02,7.745300000000000000e+19,2.775599999999999734e-01,2.789400000000000213e-01,2.859000000000000000e+05,1.023200000000000000e+05,1.835800000000000000e+05,4.748000000000000000e+04,5.484000000000000000e+04,-2.292599999999999916e-01,4.196799999999999642e+00,-3.848599999999999799e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,2.235289999999999830e+22,6.613759999999999639e-01,4.526620000000000088e-01,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,3.892209999999999672e+20,1.851230000000000098e-01,3.531800000000000217e-02,1.870019999999999974e+22,1.537900000000000000e+20,6.792170000000000000e+19,2.684760000000000094e+23,1.139470000000000027e+01
-4.083099999999999924e-02,1.420400000000000000e+20,3.568700000000000205e-01,3.611300000000000066e-01,4.118000000000000000e+05,2.095500000000000000e+05,2.022500000000000000e+05,1.018900000000000000e+05,1.076600000000000000e+05,-2.066000000000000059e-01,4.200800000000000090e+00,-3.840500000000000025e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,5.272950000000000066e+22,5.798600000000000421e-01,1.917030000000000012e+00,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,3.574449999999999672e+20,2.240109999999999879e-01,4.165409999999999946e-02,3.929560000000000262e+22,2.674080000000000000e+20,1.137060000000000000e+20,3.780230000000000296e+23,1.805949999999999989e+01
-3.232800000000000257e-02,1.997600000000000000e+20,3.971999999999999975e-01,3.966500000000000026e-01,6.364900000000000000e+05,4.108200000000000000e+05,2.256700000000000000e+05,1.498700000000000000e+05,2.609500000000000000e+05,-1.827999999999999903e-01,4.204500000000000348e+00,-3.832800000000000207e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,2.529010000000000092e+22,3.359030000000000071e-01,3.073420000000000041e-01,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,3.051409999999999672e+20,2.716819999999999791e-01,4.677320000000000089e-02,5.784050000000000092e+22,3.612070000000000328e+20,1.459670000000000000e+20,4.774379999999999796e+23,2.396349999999999980e+01
-2.450499999999999901e-02,3.464600000000000000e+20,4.319600000000000106e-01,4.337400000000000144e-01,7.123000000000000000e+05,4.523100000000000000e+05,2.599900000000000000e+05,2.714400000000000000e+05,1.808700000000000000e+05,-1.582600000000000118e-01,4.208000000000000185e+00,-3.825800000000000090e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,1.206199999999999969e+23,7.564030000000000475e-01,4.331489999999999618e+00,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,4.328409999999999672e+20,3.079080000000000150e-01,6.069139999999999951e-02,1.027329999999999987e+23,6.351900000000000655e+20,2.415300000000000000e+20,6.528259999999999974e+23,3.248499999999999943e+01
-1.738299999999999915e-02,5.006400000000000000e+20,4.961499999999999799e-01,4.967699999999999894e-01,1.209400000000000000e+06,9.037500000000000000e+05,3.056600000000000000e+05,4.201700000000000000e+05,4.835900000000000000e+05,-1.325900000000000134e-01,4.211100000000000065e+00,-3.819399999999999906e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,1.402950000000000045e+23,9.669170000000000265e-01,7.012500000000000178e+00,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,5.898320000000000000e+20,3.469070000000000209e-01,8.264050000000000562e-02,1.576979999999999869e+23,1.016500000000000000e+21,3.581670000000000328e+20,9.850410000000000564e+23,5.001800000000000068e+01
-1.111700000000000015e-02,7.210000000000000000e+20,5.047000000000000375e-01,5.020499999999999963e-01,1.478300000000000000e+06,1.102600000000000000e+06,3.757100000000000000e+05,6.195900000000000000e+05,4.830500000000000000e+05,-1.053299999999999931e-01,4.213799999999999990e+00,-3.813800000000000079e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,3.198770000000000176e+23,6.406340000000000368e-01,1.855910000000000082e+01,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,8.671550000000000328e+20,3.326239999999999752e-01,1.098950000000000066e-01,2.271550000000000097e+23,1.560889999999999934e+21,5.048160000000000000e+20,1.326170000000000115e+24,7.074339999999999407e+01
