# x,ne,Te,Ti,Wtot,Wpart,Wrad,Wpls,Wneut,xMP,Rclfc,Zclfc,Wpar_xpt,WWpar,WWtrg,Lcnnt,Lcnnx,f0,D_flux_atm,D_temp_atm,D_pres_atm,He_flux_atm,He_temp_atm,He_pres_atm,Ne_flux_atm,Ne_temp_atm,Ne_pres_atm,D_flux_ion,He_flux_ion,Ne_flux_ion,D2_flux_mol,D2_pres_mol
-1.035299999999999970e-01,7.394300000000000000e+18,9.983200000000000407e-02,1.005299999999999944e-01,8.557300000000000000e+04,1.212500000000000000e+04,7.344800000000000000e+04,2.354800000000000182e+03,9.769700000000000728e+03,-3.123299999999999965e-01,5.554299999999999571e+00,-4.496299999999999741e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,7.734919999999999738e+21,4.238910000000000178e-01,1.618420000000000136e-01,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,9.893020000000000655e+20,1.389459999999999862e-01,6.542589999999999517e-02,9.090550000000000328e+20,9.658810000000000000e+18,1.571010000000000000e+19,4.720120000000000052e+23,1.370410000000000039e+01
-9.205699999999999994e-02,1.451900000000000000e+19,1.470200000000000118e-01,1.501399999999999957e-01,9.917300000000000000e+04,1.797100000000000000e+04,8.120200000000000000e+04,5.615300000000000182e+03,1.235500000000000000e+04,-2.928399999999999892e-01,5.554299999999999571e+00,-4.484899999999999665e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,1.229310000000000000e+20,3.274210000000000176e-01,1.917340000000000017e-03,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,7.218990000000000328e+20,1.518639999999999990e-01,5.711009999999999698e-02,2.182640000000000000e+21,1.869000000000000000e+19,3.028870000000000000e+19,4.027729999999999966e+23,1.251040000000000063e+01
-8.064300000000000634e-02,3.214800000000000000e+19,1.536800000000000110e-01,1.457199999999999884e-01,1.136900000000000000e+05,2.375400000000000000e+04,8.993500000000000000e+04,1.236500000000000000e+04,1.139000000000000000e+04,-2.724699999999999900e-01,5.554299999999999571e+00,-4.473499999999999588e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,1.543550000000000000e+20,2.787749999999999950e-01,8.988790000000000668e-02,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,4.712940000000000000e+20,1.348650000000000126e-01,2.653689999999999868e-02,4.940740000000000393e+21,3.095390000000000000e+19,4.984090000000000000e+19,4.144809999999999725e+23,1.717909999999999826e+01
-6.943299999999999472e-02,5.789600000000000000e+19,1.970200000000000007e-01,1.988600000000000090e-01,1.637400000000000000e+05,6.491200000000000000e+04,9.883000000000000000e+04,2.530000000000000000e+04,3.961200000000000000e+04,-2.511800000000000144e-01,5.554299999999999571e+00,-4.462200000000000166e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,2.277829999999999961e+22,2.778970000000000051e-01,7.073580000000000145e-02,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,8.059689999999999672e+20,1.281629999999999991e-01,4.453809999999999714e-02,1.024640000000000000e+22,4.686370000000000000e+19,7.467680000000000000e+19,4.080320000000000084e+23,1.684280000000000044e+01
-5.850899999999999851e-02,1.080300000000000000e+20,2.700899999999999967e-01,2.775599999999999734e-01,1.816800000000000000e+05,7.327300000000000000e+04,1.084100000000000000e+05,5.714700000000000000e+04,1.612600000000000000e+04,-2.292599999999999916e-01,5.554299999999999571e+00,-4.451299999999999812e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,7.400829999999999803e+21,2.377009999999999956e-01,7.375859999999999361e-02,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,4.730929999999999672e+20,1.845140000000000113e-01,4.759420000000000317e-02,2.260889999999999830e+22,7.909570000000000000e+19,1.241200000000000000e+20,3.259049999999999725e+23,1.708149999999999835e+01
-4.802300000000000318e-02,1.871400000000000000e+20,3.295600000000000196e-01,3.307899999999999729e-01,3.478800000000000000e+05,2.281700000000000000e+05,1.197100000000000000e+05,1.079800000000000000e+05,1.201900000000000000e+05,-2.066000000000000059e-01,5.554299999999999571e+00,-4.440800000000000303e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,4.059019999999999921e+22,5.181459999999999955e-01,1.518550000000000066e+00,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,5.656889999999999672e+20,2.707080000000000042e-01,7.164560000000000373e-02,4.233999999999999895e+22,1.246890000000000000e+20,1.916830000000000000e+20,3.320540000000000236e+23,1.386609999999999943e+01
-3.810600000000000098e-02,3.101900000000000000e+20,3.937599999999999989e-01,3.924400000000000110e-01,4.623100000000000000e+05,3.261700000000000000e+05,1.361500000000000000e+05,1.984600000000000000e+05,1.277100000000000000e+05,-1.827999999999999903e-01,5.554299999999999571e+00,-4.430900000000000283e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,5.937900000000000131e+22,6.789479999999999960e-01,1.319560000000000066e+00,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,5.157049999999999672e+20,2.286060000000000036e-01,8.213139999999999330e-02,7.630690000000000197e+22,2.062990000000000000e+20,3.086289999999999672e+20,4.265089999999999987e+23,2.309039999999999893e+01
-2.885499999999999871e-02,4.458500000000000000e+20,4.227699999999999791e-01,4.219800000000000217e-01,6.074900000000000000e+05,4.466100000000000000e+05,1.608800000000000000e+05,2.943000000000000000e+05,1.523100000000000000e+05,-1.582600000000000118e-01,5.554299999999999571e+00,-4.421700000000000408e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,5.738610000000000092e+22,4.294510000000000272e-01,1.606759999999999966e+00,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,4.036340000000000000e+20,3.151039999999999952e-01,7.005680000000000240e-02,1.120870000000000003e+23,3.017500000000000000e+20,4.363310000000000328e+20,6.586419999999999995e+23,3.625110000000000099e+01
-2.054500000000000076e-02,5.701900000000000000e+20,4.153200000000000225e-01,4.130499999999999727e-01,8.691900000000000000e+05,6.736600000000000000e+05,1.955300000000000000e+05,3.588300000000000000e+05,3.148200000000000000e+05,-1.325900000000000134e-01,5.554299999999999571e+00,-4.413400000000000212e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,1.180579999999999932e+23,5.158949999999999925e-01,4.290110000000000312e+00,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,8.637390000000000328e+20,3.078989999999999783e-01,1.662889999999999924e-01,1.389569999999999987e+23,4.003049999999999672e+20,5.563200000000000000e+20,8.289649999999999756e+23,4.380830000000000268e+01
-1.319299999999999987e-02,6.961800000000000000e+20,4.978000000000000203e-01,4.982500000000000262e-01,1.151600000000000000e+06,9.181800000000000000e+05,2.334100000000000000e+05,5.026300000000000000e+05,4.155500000000000000e+05,-1.053299999999999931e-01,5.554299999999999571e+00,-4.405999999999999694e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,2.897930000000000102e+23,5.366349999999999731e-01,8.838369999999999393e+00,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,1.347400000000000000e+21,2.962839999999999918e-01,1.839520000000000044e-01,1.850880000000000000e+23,5.778329999999999672e+20,7.687030000000000328e+20,1.287609999999999955e+24,7.163280000000000314e+01
