x (m);Ei(eV);D+flux (m-2s-1)
-0.089207;0.76356;3.06E+20
-0.079142;0.52327;8.43E+20
-0.069145;0.70583;2.69557E+21
-0.059352;0.84338;6.96332E+21
-0.049897;1.13472;1.99347E+22
-0.040831;1.34117;3.09864E+22
-0.032328;1.41734;4.70779E+22
-0.024505;1.79707;8.27811E+22
-0.017383;1.98572;1.11656E+23
-0.011117;2.28814;1.61588E+23
-0.0058966;2.65312;2.21671E+23
-0.0017791;2.10456;2.10496E+23
0.0036125;2.95182;3.33565E+23
0.012733;2.91316;4.04378E+23
0.025397;3.43202;5.07745E+23
0.041503;3.57162;6.29364E+23
0.061018;4.60811;5.89514E+23
0.083767;5.3625;5.65052E+23
0.1098;6.2002;4.18548E+23
0.13919;6.3335;3.15425E+23
0.17203;6.0907;2.19972E+23
0.20861;6.798;1.51723E+23
0.24939;7.3251;1.10844E+23
0.2951;7.9116;7.06419E+22
0.34343;8.4001;4.29893E+22
0.39314;9.1437;2.73287E+22
0.45274;11.3031;1.3013E+22
0.5377;13.1421;6.10843E+21
0.64395;15.9574;3.52079E+21
0.74016;18.5196;3.19446E+21
0.81488;21.0792;2.30697E+21
0.86904;20.5466;2.53547E+21
0.9082;20.4227;1.76654E+21
0.9427;19.0615;1.26312E+21
0.96782;18.0874;1.08704E+21
0.98445;16.39;4.39E+20
