s_cell [m];flux_inc_ion [m-2.s-1];E_imp_ion [eV];alpha_V_ion [deg];flux_inc_atom [m-2.s-1];E_imp_atom [eV];alpha_V_atom [deg];net_energy_flux [W.m-2]
5.713959183633919e-01;0.000000000000000e+00;NaN;NaN;1.589451814477276e+21;3.775702401128446e+01;NaN;8.617895049291032e+03
5.741881384659409e-01;0.000000000000000e+00;NaN;NaN;1.577221390973370e+21;3.392174121227271e+01;NaN;8.244841350851562e+03
5.788294445512920e-01;0.000000000000000e+00;NaN;NaN;1.472001520242585e+21;3.438541762720526e+01;NaN;8.802932017954965e+03
5.844813744780388e-01;0.000000000000000e+00;NaN;NaN;1.413613524864072e+21;4.164383039494808e+01;NaN;9.173178589634885e+03
5.895001350316618e-01;0.000000000000000e+00;NaN;NaN;6.465475146842070e+20;4.315111206091156e+01;NaN;2.657814945300890e+03
5.958303396743118e-01;1.317254929001589e+19;4.199623131798603e+01;NaN;7.660015437896036e+20;4.754737986807809e+01;NaN;3.719840613947564e+03
6.059607146042290e-01;0.000000000000000e+00;NaN;NaN;7.065188858956963e+20;3.327933068831770e+01;NaN;2.622465668891572e+03
6.161914304398897e-01;4.604901604869068e+18;9.014114983371728e+00;NaN;8.509460746207087e+20;3.878360726657010e+01;NaN;3.848960195927430e+03
6.218569781585004e-01;0.000000000000000e+00;NaN;NaN;7.210209471065039e+20;3.678659987407745e+01;NaN;3.220729235620807e+03
6.288824188932652e-01;9.832381912453874e+18;1.957076263647281e+01;NaN;7.038024012335346e+20;4.439070895368031e+01;NaN;3.133518660257999e+03
6.393962018996865e-01;3.514903651005146e+19;4.172389242004611e+01;NaN;8.594285113042211e+20;3.413444396945968e+01;NaN;3.595231759246770e+03
6.495423367435241e-01;5.763725697644138e+19;3.104072460537822e+01;NaN;9.580893422947045e+20;3.344493606931878e+01;NaN;3.759617807743520e+03
6.590094051627661e-01;4.758700253094866e+19;3.420831146922855e+01;NaN;1.054258031892090e+21;3.289216591723994e+01;NaN;4.534547016539189e+03
6.645936879182079e-01;0.000000000000000e+00;NaN;NaN;1.277831377048144e+21;3.444035381902017e+01;NaN;5.268784606752593e+03
6.695918273105915e-01;2.002643194649669e+20;3.612793754962323e+01;NaN;1.065742250486529e+21;3.477618079374642e+01;NaN;5.143481926578133e+03
6.783145662683023e-01;1.721547263318493e+20;3.715231670198271e+01;NaN;1.110162185173371e+21;3.177788279056957e+01;NaN;4.938706709025259e+03
6.834175308061823e-01;2.978429804414875e+20;3.679807752848759e+01;NaN;1.336913533169678e+21;3.267683482774630e+01;NaN;4.404919416874865e+03
6.881026229062193e-01;3.960513186672477e+20;3.470335216798038e+01;NaN;1.301637049103310e+21;3.134616535991108e+01;NaN;7.846169256940865e+03
6.957997358524409e-01;5.272068461602117e+20;3.997714420723642e+01;NaN;1.377665416645361e+21;3.522904960291342e+01;NaN;7.952116814771601e+03
6.999294065045440e-01;1.127245477732814e+21;4.586743623462829e+01;NaN;2.139829710792853e+21;3.338689529882143e+01;NaN;1.265737793729162e+04
7.046036503701563e-01;1.234955768249982e+21;3.754948736206494e+01;NaN;1.989039121746157e+21;2.671488166357214e+01;NaN;1.371912073666129e+04
7.104451952030111e-01;1.069159915547014e+21;4.189036391672411e+01;NaN;1.915099254031870e+21;2.522487779122210e+01;NaN;1.229476743890909e+04
7.138966885644596e-01;2.178792213360492e+21;4.390727307408580e+01;NaN;1.833860725526050e+21;3.095150017388508e+01;NaN;2.237481734086122e+04
7.182432415040987e-01;2.272806902749763e+21;4.133405829251237e+01;NaN;2.144096651226005e+21;3.257740057726399e+01;NaN;2.444526267698358e+04
7.227039321185542e-01;2.336149883859799e+21;4.187548483080943e+01;NaN;2.039646810244537e+21;2.561322680207967e+01;NaN;2.455412301730777e+04
7.257217095519308e-01;4.095943689068477e+21;4.250974897102281e+01;NaN;2.161383700078898e+21;2.798198887909567e+01;NaN;3.997694898133860e+04
7.309124404001006e-01;4.344007297720060e+21;4.313005137193093e+01;NaN;3.120245912271195e+21;2.844371635358581e+01;NaN;4.258664781119941e+04
7.392767341320698e-01;7.048979417997284e+21;4.716005724129188e+01;NaN;3.688283321902157e+21;2.739790716293814e+01;NaN;6.373338962686562e+04
7.476580380599591e-01;1.239688292905612e+22;4.769845605392114e+01;NaN;5.596287916374889e+21;2.538773200452435e+01;NaN;1.034406490672106e+05
7.547028537389382e-01;1.697892843008121e+22;4.955859982549015e+01;NaN;7.195064726150876e+21;2.605056920329457e+01;NaN;1.482866438073399e+05
7.606597497237264e-01;2.225399435968652e+22;5.006587743457236e+01;NaN;9.592247135757547e+21;2.674895019731455e+01;NaN;2.051078300654514e+05
7.657531186515272e-01;2.697737572660037e+22;4.936567443998283e+01;NaN;1.181500076156556e+22;2.613362866893340e+01;NaN;2.462303199382077e+05
7.699995984224914e-01;3.495776184344026e+22;4.944060370540751e+01;NaN;1.398748872295686e+22;2.497180479973351e+01;NaN;2.897996872575663e+05
7.732995875768670e-01;4.131870019640174e+22;4.970727273878270e+01;NaN;1.619630728473102e+22;2.411800544461213e+01;NaN;3.483134575937593e+05
7.757792307381750e-01;4.383889219271704e+22;5.061471774783035e+01;NaN;1.801825634449656e+22;2.516064442178665e+01;NaN;3.872109804886702e+05
7.781651986040994e-01;4.592170950322437e+22;4.974500147912953e+01;NaN;1.945269638800549e+22;2.502663807982512e+01;NaN;4.145430612752381e+05
7.809578364250076e-01;4.955557944161028e+22;5.176422073034247e+01;NaN;2.044146060297845e+22;2.632465749688978e+01;NaN;4.440871595489816e+05
7.838487328758749e-01;5.590467799159116e+22;5.272110476935728e+01;NaN;2.265000089852317e+22;2.609773065526733e+01;NaN;4.942689519276966e+05
7.869855628995210e-01;5.652872016983473e+22;5.416384537455951e+01;NaN;2.326372946167813e+22;2.468292683110848e+01;NaN;5.302057658175003e+05
7.904037845192172e-01;6.075423656722875e+22;5.625118024368343e+01;NaN;2.326668370874536e+22;2.544155497037339e+01;NaN;5.916428743028096e+05
7.939471374889502e-01;6.497937570655284e+22;5.896522356446101e+01;NaN;2.470978055639215e+22;2.558221601296663e+01;NaN;6.465962302634290e+05
7.975090120093709e-01;7.048516182744114e+22;6.260774504952691e+01;NaN;2.605882739489207e+22;2.562562957710948e+01;NaN;7.793068841863986e+05
8.011264668496416e-01;7.507987531232501e+22;6.901340066202472e+01;NaN;2.456118310858102e+22;2.699230380875616e+01;NaN;8.596706008977053e+05
8.049890280430786e-01;7.176793964920246e+22;7.727752603704650e+01;NaN;2.196630542190257e+22;2.682701683131679e+01;NaN;9.474762677045532e+05
8.091930285177138e-01;6.938263199837540e+22;9.024493017064182e+01;NaN;1.939902759550445e+22;2.829554877371395e+01;NaN;1.028079821472756e+06
8.136823963570012e-01;6.879925966243039e+22;1.053741769669649e+02;NaN;1.731018516854126e+22;2.926432928737437e+01;NaN;1.174561255734630e+06
8.183225076652748e-01;6.874500096121828e+22;1.204120661315972e+02;NaN;1.510458914939021e+22;2.926235455703545e+01;NaN;1.288492674072177e+06
8.231650781773978e-01;6.500070485842321e+22;1.325998852478480e+02;NaN;1.232251586925038e+22;2.818395429628339e+01;NaN;1.397651364220029e+06
8.282210739282279e-01;4.945162604250351e+22;1.339324323097917e+02;NaN;9.811049275600054e+21;3.086250769669216e+01;NaN;1.120487493160397e+06
8.323762231342043e-01;3.007567581532777e+22;1.004893598608614e+02;NaN;7.423791228756676e+21;3.307997758528555e+01;NaN;5.239875312838859e+05
8.360874887662642e-01;1.819143501302258e+22;7.754029017790253e+01;NaN;5.045939303571701e+21;3.089469374460953e+01;NaN;2.488177996999011e+05
8.416142959085945e-01;9.005971923246193e+21;5.923300574628326e+01;NaN;3.411249014882402e+21;3.576531672565318e+01;NaN;9.216306102837449e+04
8.488421547521909e-01;3.321638872521060e+21;4.190293141364880e+01;NaN;2.704799922378735e+21;3.414767674400056e+01;NaN;3.752764290671565e+04
8.530832353991449e-01;4.535518971208906e+21;4.383767550315670e+01;NaN;2.310619218378966e+21;2.338745778662264e+01;NaN;3.148429267036442e+04
8.537918099392514e-01;0.000000000000000e+00;NaN;NaN;2.392172983052800e+21;3.746670259931740e+01;NaN;1.430693322168362e+04
8.543706180516218e-01;0.000000000000000e+00;NaN;NaN;2.371428046258256e+21;3.566990999818660e+01;NaN;1.194889497924366e+04
8.550434808720584e-01;0.000000000000000e+00;NaN;NaN;2.296036283343982e+21;3.053783326605385e+01;NaN;1.356346528733414e+04
8.559044499777996e-01;1.212960908254389e+21;3.402186954164501e+01;NaN;2.036008167613941e+21;3.356030794380018e+01;NaN;1.767662088833424e+04
8.569551541338385e-01;1.383297290789037e+21;2.907444732475472e+01;NaN;2.224070247395685e+21;3.164421047635597e+01;NaN;1.723171357525761e+04
8.582075262577280e-01;1.141591895486232e+21;2.671148809518258e+01;NaN;1.906814667303521e+21;3.799042625375105e+01;NaN;1.914951693784009e+04
8.596643101019401e-01;1.311136001441815e+21;2.927151295890581e+01;NaN;2.163636304484741e+21;3.549484203586292e+01;NaN;1.890778489893631e+04
8.613151559701813e-01;1.279914433650202e+21;3.442562326301466e+01;NaN;2.811413997437525e+21;3.395480578899662e+01;NaN;1.928789466754568e+04
8.631559751823854e-01;1.396788485471625e+21;2.812763434692823e+01;NaN;2.412372625262296e+21;2.392662240772869e+01;NaN;1.829602254495062e+04
8.643120462552596e-01;1.050414006983054e+21;2.184141151833093e+01;NaN;2.710319299420043e+21;3.961499849030072e+01;NaN;1.836333761836723e+04
8.653908978391460e-01;0.000000000000000e+00;NaN;NaN;2.675781745849821e+21;3.010217062051436e+01;NaN;1.096750003617320e+04
8.674616531641819e-01;1.833618106398018e+20;1.983461158876236e+01;NaN;2.299882511765519e+21;2.638266229660778e+01;NaN;1.017879467310247e+04
8.699368000939727e-01;1.781628585845839e+20;1.990754265584275e+01;NaN;2.432397209051413e+21;2.599545379370310e+01;NaN;1.062277508669150e+04
8.726216089107878e-01;3.249554908151014e+20;1.869209037403363e+01;NaN;2.424600898822377e+21;2.439417083860097e+01;NaN;1.043808811020579e+04
8.754815177208104e-01;2.393231764826264e+20;1.931006908465575e+01;NaN;2.396185580362072e+21;2.313197456266476e+01;NaN;9.892926720292122e+03
8.785184466314446e-01;3.167069695768185e+20;2.172373499940006e+01;NaN;2.601216206382201e+21;2.425404019301086e+01;NaN;1.101990196782184e+04
8.817372620113471e-01;3.574945190110723e+20;2.823464443897736e+01;NaN;2.633706620883445e+21;1.889914230096065e+01;NaN;9.821186153359968e+03
8.851361317880917e-01;1.443265233714545e+20;1.878898532670029e+01;NaN;2.633983602869942e+21;2.302853357135515e+01;NaN;1.089390523044304e+04
8.887052867231831e-01;0.000000000000000e+00;NaN;NaN;3.047557408074777e+21;2.655306081636779e+01;NaN;1.002659293508478e+04
8.922111715285719e-01;0.000000000000000e+00;NaN;NaN;2.474379147403456e+21;1.913078519373254e+01;NaN;8.914884537692127e+03
8.955286998316494e-01;2.233209368301144e+20;1.902150659806748e+01;NaN;2.870464826405335e+21;2.357877605125859e+01;NaN;1.145415866198708e+04
8.987110512479717e-01;1.522863563604564e+20;1.407098973292810e+01;NaN;2.726910364330597e+21;2.171195331577991e+01;NaN;1.085510162770469e+04
9.017134577537624e-01;1.469135324818596e+20;1.434118629961742e+01;NaN;2.864857986234076e+21;2.659353175485287e+01;NaN;1.059045350140253e+04
9.045417800860878e-01;2.023732424828120e+20;2.611729073457673e+01;NaN;2.708189882059817e+21;2.644642312208621e+01;NaN;1.238729531197770e+04
9.071870742459989e-01;2.690473463504461e+20;2.268583457720479e+01;NaN;2.320454542640709e+21;2.639271730243342e+01;NaN;1.060635402878898e+04
9.096370888557709e-01;3.016864793769386e+20;1.845943734241276e+01;NaN;2.722800706808183e+21;2.650896115316259e+01;NaN;1.172990891667424e+04
9.119216938704540e-01;2.242813922795147e+20;1.843273663480636e+01;NaN;2.504041473389585e+21;2.782177894062093e+01;NaN;1.138582157558832e+04
9.140436229255003e-01;0.000000000000000e+00;NaN;NaN;2.559033857385229e+21;3.148856769956501e+01;NaN;1.150855508443301e+04
9.154064921513623e-01;0.000000000000000e+00;NaN;NaN;2.469563326216417e+21;2.594660773433520e+01;NaN;9.652783448149603e+03
9.163338047628065e-01;1.848179885572022e+21;2.837094185765182e+01;NaN;2.368767358766996e+21;2.372082723259189e+01;NaN;1.830783644636584e+04
9.176835005562980e-01;1.288672855690955e+21;3.196036621988263e+01;NaN;2.401690944113960e+21;2.690662765535352e+01;NaN;1.856078382532219e+04
9.191258995390217e-01;1.678631247300025e+21;2.976614406945660e+01;NaN;2.379555490730889e+21;3.000132300874368e+01;NaN;2.217049466295904e+04
9.203935362301501e-01;1.575214391785867e+21;3.278817689678107e+01;NaN;2.406292293740629e+21;3.702806570036220e+01;NaN;1.869290017909799e+04
9.215002083895940e-01;1.850064781565734e+21;3.212308810795167e+01;NaN;2.392574683679918e+21;2.432680932572143e+01;NaN;1.858310939163698e+04
9.224442009648133e-01;1.365712883866894e+21;3.025695121433360e+01;NaN;2.914000784934530e+21;3.118109158707970e+01;NaN;2.433819649118205e+04
9.232251631697683e-01;1.480795191295709e+21;3.032311635905013e+01;NaN;2.658058568429942e+21;2.826645390028724e+01;NaN;1.932242395872466e+04
9.238357492380214e-01;0.000000000000000e+00;NaN;NaN;2.761419167978617e+21;2.719639018581134e+01;NaN;1.121868355360641e+04
9.242697664149448e-01;0.000000000000000e+00;NaN;NaN;3.245519954664946e+21;4.155595546202022e+01;NaN;2.047859495380714e+04
9.245475004113730e-01;0.000000000000000e+00;NaN;NaN;1.520732472908934e+21;1.931866404031069e+01;NaN;9.632558550446834e+03
9.284488689588918e-01;3.476382713286181e+21;4.514244694588606e+01;NaN;2.868114053973086e+21;3.350538402214563e+01;NaN;3.911477503407193e+04
9.352312804634425e-01;8.802676809694527e+21;5.936297487857620e+01;NaN;3.594516794788612e+21;3.307994585407847e+01;NaN;9.522006240558316e+04
9.402261310142657e-01;1.932095707442815e+22;7.862339487004317e+01;NaN;5.538447503399530e+21;3.195078312532860e+01;NaN;2.494749358113575e+05
9.438296359310472e-01;3.137646150875883e+22;1.022076237240732e+02;NaN;7.435940868488355e+21;3.076546545981136e+01;NaN;5.421577398498503e+05
9.477096947575977e-01;5.321013000488091e+22;1.438286792619573e+02;NaN;1.045047771476845e+22;3.193586603348574e+01;NaN;1.278087541801170e+06
9.521916256062684e-01;6.659187607352942e+22;1.547916707781941e+02;NaN;1.206948140806451e+22;3.094030838233140e+01;NaN;1.644362196083172e+06
9.564481634798810e-01;6.676052249551670e+22;1.466871240199751e+02;NaN;1.231958819820801e+22;3.045379607769972e+01;NaN;1.622982776259347e+06
9.606991407803525e-01;6.483842449605926e+22;1.325002218856771e+02;NaN;1.374845001686332e+22;2.784963014256747e+01;NaN;1.373094743300780e+06
9.649498118263933e-01;6.693242388602672e+22;1.202275853079624e+02;NaN;1.418893472642376e+22;3.057865156825184e+01;NaN;1.249388178909537e+06
9.688494253851441e-01;6.648731001178162e+22;1.074846771629640e+02;NaN;1.593964344646030e+22;3.029473013553360e+01;NaN;1.202571163645636e+06
9.724376765229517e-01;7.016508047317667e+22;9.599147827510481e+01;NaN;1.724429750760804e+22;2.808650806641062e+01;NaN;1.082562075670108e+06
9.758454759663759e-01;7.104846665004247e+22;8.662344849595451e+01;NaN;1.890325221327093e+22;2.718464945285862e+01;NaN;9.813256184897426e+05
9.790472469651365e-01;6.768334524065598e+22;7.984480257365507e+01;NaN;1.775060198433976e+22;2.805375477642265e+01;NaN;9.024739157806800e+05
9.821062688323220e-01;6.479246325845815e+22;7.354973442823062e+01;NaN;1.931484801692298e+22;2.620075418102292e+01;NaN;8.246243795205554e+05
9.850993436211724e-01;6.206157788579067e+22;6.964596043561579e+01;NaN;1.953087433993779e+22;2.580803819007664e+01;NaN;7.514848267918242e+05
9.880059697726713e-01;5.954322124040009e+22;6.557373201037251e+01;NaN;1.859974371540401e+22;2.268968807855294e+01;NaN;6.452224282952003e+05
9.908165089685672e-01;5.483094016813032e+22;6.330978509445104e+01;NaN;1.726667302191472e+22;2.583256355782067e+01;NaN;5.979340810796577e+05
9.935047455450641e-01;5.096913108529121e+22;6.104382756605601e+01;NaN;1.752395781177062e+22;2.380607828531496e+01;NaN;5.559209383284224e+05
9.955037774448198e-01;5.192140217710123e+22;5.905342607395444e+01;NaN;1.634961130431260e+22;2.461502544349314e+01;NaN;4.954657004857902e+05
9.967416256848396e-01;4.789250642455498e+22;5.986595246385403e+01;NaN;1.630118133580208e+22;2.257046514091523e+01;NaN;5.001343381478558e+05
9.985886656682763e-01;4.501846224071262e+22;5.855909314816611e+01;NaN;1.613952008004413e+22;2.284021388181189e+01;NaN;4.559429448236667e+05
1.001246887649901e+00;4.214693210518115e+22;5.679453933886516e+01;NaN;1.409565999431280e+22;2.295504125055836e+01;NaN;4.161937555021694e+05
1.003996038856501e+00;3.845241144619664e+22;5.380926763254178e+01;NaN;1.392492104832941e+22;2.261819437347316e+01;NaN;3.823609566178425e+05
1.006897629175445e+00;3.405696221313941e+22;5.347809948789335e+01;NaN;1.257850697822968e+22;2.165551195873913e+01;NaN;3.312841281078792e+05
1.010015292564127e+00;3.076384281059418e+22;5.171320099035169e+01;NaN;1.192339795101584e+22;2.262257423947474e+01;NaN;2.910705015543572e+05
1.013360988667060e+00;2.744254763781917e+22;5.133940177618972e+01;NaN;1.078192919578253e+22;2.350832121451047e+01;NaN;2.513787314106979e+05
