s_cell [m];flux_inc_ion [m-2.s-1];E_imp_ion [eV];alpha_V_ion [deg];flux_inc_atom [m-2.s-1];E_imp_atom [eV];alpha_V_atom [deg];net_energy_flux [W.m-2]
5.713959183633919e-01;0.000000000000000e+00;NaN;NaN;2.111185829484138e+21;1.213243425653164e+01;NaN;4.812308560224828e+03
5.741881384659409e-01;0.000000000000000e+00;NaN;NaN;2.560879372522369e+21;1.270176307456558e+01;NaN;5.173261054413814e+03
5.788294445512920e-01;0.000000000000000e+00;NaN;NaN;2.489127448776031e+21;1.340570666267721e+01;NaN;5.491557552297148e+03
5.844813744780388e-01;0.000000000000000e+00;NaN;NaN;2.598146148028970e+21;1.319586447810497e+01;NaN;5.556271559066741e+03
5.895001350316618e-01;0.000000000000000e+00;NaN;NaN;1.295421832639510e+21;1.403146938139895e+01;NaN;2.894382484620218e+03
5.958303396743118e-01;2.186336197168930e+18;7.197914497445568e+00;NaN;1.521633228210245e+21;1.283097727029784e+01;NaN;2.978796117222535e+03
6.059607146042290e-01;4.382561361791391e+18;1.618324831730611e+01;NaN;1.637766772975947e+21;1.441339703566860e+01;NaN;3.106996293385998e+03
6.161914304398897e-01;0.000000000000000e+00;NaN;NaN;1.676351079078598e+21;1.332786125469317e+01;NaN;3.299357289644959e+03
6.218569781585004e-01;3.615207499557455e+19;1.256988224516480e+01;NaN;1.706776363612998e+21;1.423882673007887e+01;NaN;3.244179015920782e+03
6.288824188932652e-01;2.764274824846871e+19;1.816724254672980e+01;NaN;1.759869385842149e+21;1.331490253478515e+01;NaN;3.334384951175368e+03
6.393962018996865e-01;2.768275726941024e+19;1.786042645798176e+01;NaN;1.829632408042231e+21;1.236983572018119e+01;NaN;3.400464390072219e+03
6.444895360993572e-01;4.816914388384556e+19;1.659708214749419e+01;NaN;1.627579503574502e+21;1.179958843964258e+01;NaN;3.291570314587584e+03
6.495423367435241e-01;5.127422974319266e+19;1.922700821019234e+01;NaN;1.911554055309260e+21;1.299958404641370e+01;NaN;3.756571838371657e+03
6.590094051627661e-01;4.745949170433283e+19;1.900863122492238e+01;NaN;2.146174328453930e+21;1.320060076723056e+01;NaN;4.084431226572889e+03
6.645936879182079e-01;8.915057500092213e+19;1.570462659964499e+01;NaN;2.282358990088700e+21;1.237477588435975e+01;NaN;4.020633479380082e+03
6.695918273105915e-01;1.499292759018393e+20;1.841396717171112e+01;NaN;2.200062306866179e+21;1.370480246728106e+01;NaN;4.569347937212058e+03
6.783145662683023e-01;1.529281225352679e+20;1.772582089267719e+01;NaN;2.335969800433441e+21;1.389778377768065e+01;NaN;4.957968028504675e+03
6.834175308061823e-01;1.342194131028598e+20;1.973277627839666e+01;NaN;2.023877354064530e+21;1.281872071653206e+01;NaN;4.657710551429804e+03
6.881026229062193e-01;3.784855061208557e+20;1.813697439678953e+01;NaN;2.573794772290645e+21;1.232355602147107e+01;NaN;6.026748811072775e+03
6.957997358524409e-01;4.348538076274439e+20;1.816280344170383e+01;NaN;2.846662675887945e+21;1.256481535811583e+01;NaN;6.159471911216137e+03
6.999294065045440e-01;7.195987618582725e+20;1.743718959495978e+01;NaN;2.879651742673412e+21;1.192831204816567e+01;NaN;7.642391672734437e+03
7.046036503701563e-01;7.925529310064053e+20;1.765869361280114e+01;NaN;2.883179437835562e+21;1.236338325278740e+01;NaN;7.837447444396892e+03
7.104451952030111e-01;8.414881702669665e+20;1.746520939764211e+01;NaN;3.146644075463448e+21;1.226058549034677e+01;NaN;8.152942696659430e+03
7.138966885644596e-01;1.427461856591886e+21;1.783948023695727e+01;NaN;3.399741288590446e+21;1.261038830363353e+01;NaN;1.107566026730770e+04
7.182432415040987e-01;1.352967057616539e+21;1.736353190915966e+01;NaN;3.598810117137253e+21;1.250973144837761e+01;NaN;1.118214888383647e+04
7.227039321185542e-01;1.508290925090763e+21;1.746813578183656e+01;NaN;3.543800633697610e+21;1.308362596113526e+01;NaN;1.118635808939472e+04
7.257217095519308e-01;2.432117563709497e+21;1.721374901743868e+01;NaN;3.910413856124709e+21;1.174010214771711e+01;NaN;1.502942529204801e+04
7.309124404001006e-01;2.565330177579115e+21;1.708888357677976e+01;NaN;4.129477040971601e+21;1.255887111870736e+01;NaN;1.590283720755879e+04
7.392767341320698e-01;3.675979629986138e+21;1.741496391749628e+01;NaN;4.820033217018856e+21;1.240022080484192e+01;NaN;2.057967981197581e+04
7.476580380599591e-01;5.325420348586815e+21;1.667189163716555e+01;NaN;5.446556722568799e+21;1.167863826956479e+01;NaN;2.775465604541940e+04
7.547028537389382e-01;7.082055662990153e+21;1.656881274824927e+01;NaN;6.347411911429147e+21;1.145744441424084e+01;NaN;3.486546115301985e+04
7.606597497237264e-01;9.104611525249444e+21;1.645145931724784e+01;NaN;7.268101652492264e+21;1.138009141967493e+01;NaN;4.109693463435093e+04
7.657531186515272e-01;9.841660897580548e+21;1.610666984470481e+01;NaN;8.022245339826835e+21;1.110095726696478e+01;NaN;4.586412681357493e+04
7.699995984224914e-01;1.161118575310003e+22;1.544242723314999e+01;NaN;9.308514236878668e+21;1.127653913048265e+01;NaN;5.402161662977826e+04
7.732995875768670e-01;1.373990284809084e+22;1.554960499666190e+01;NaN;9.831386056644312e+21;1.169226537278784e+01;NaN;5.991775727797911e+04
7.757792307381750e-01;1.444424563646650e+22;1.596605035154366e+01;NaN;1.049880746001955e+22;1.110216815274913e+01;NaN;6.313016301873196e+04
7.781651986040994e-01;1.467989546297970e+22;1.553433454693929e+01;NaN;1.118533844110665e+22;1.112290247141865e+01;NaN;6.435163682869179e+04
7.809578364250076e-01;1.534488504692376e+22;1.543510278711720e+01;NaN;1.165200591441354e+22;1.088558274026047e+01;NaN;6.571487415802421e+04
7.838487328758749e-01;1.621366361692974e+22;1.517737634483466e+01;NaN;1.226748185741682e+22;1.086050259775913e+01;NaN;6.833935696787942e+04
7.869855628995210e-01;1.744115375366843e+22;1.500844029619043e+01;NaN;1.353843694062284e+22;1.056798221916637e+01;NaN;7.316036905412748e+04
7.904037845192172e-01;1.728612202628548e+22;1.484622997521378e+01;NaN;1.514610269038168e+22;1.077253445494095e+01;NaN;7.721768142593549e+04
7.939471374889502e-01;1.873179687468764e+22;1.459896757111600e+01;NaN;1.515110340949988e+22;1.076073406705461e+01;NaN;8.065359804843894e+04
7.975090120093709e-01;2.023364380171221e+22;1.468316643497391e+01;NaN;1.727698469280926e+22;1.029348627832389e+01;NaN;8.687896303782590e+04
