s_cell [m];flux_inc_ion [m-2.s-1];E_imp_ion [eV];alpha_V_ion [deg];flux_inc_atom [m-2.s-1];E_imp_atom [eV];alpha_V_atom [deg];net_energy_flux [W.m-2]
5.713959183633919e-01;0.000000000000000e+00;NaN;NaN;1.215747632202951e+21;1.805258561825571e+01;NaN;4.254171813773513e+03
5.741881384659409e-01;0.000000000000000e+00;NaN;NaN;9.980336402221264e+20;2.191798049008071e+01;NaN;4.089414308598602e+03
5.788294445512920e-01;0.000000000000000e+00;NaN;NaN;1.247203167104874e+21;2.068325236432233e+01;NaN;4.291533995532831e+03
5.844813744780388e-01;0.000000000000000e+00;NaN;NaN;1.197607247683845e+21;2.002629399208920e+01;NaN;4.295416579307387e+03
5.895001350316618e-01;0.000000000000000e+00;NaN;NaN;5.302607685703689e+20;2.350648958449996e+01;NaN;1.953389564020727e+03
5.958303396743118e-01;3.126919832685757e+18;1.259571710152562e+01;NaN;5.346692482351011e+20;2.298216084335475e+01;NaN;1.791158029311950e+03
6.059607146042290e-01;0.000000000000000e+00;NaN;NaN;7.120279984444154e+20;1.946033868435650e+01;NaN;1.875992004059809e+03
6.161914304398897e-01;0.000000000000000e+00;NaN;NaN;6.454421453386119e+20;2.042122807287862e+01;NaN;2.041493615542847e+03
6.218569781585004e-01;5.126031923747519e+18;8.938483637280722e+00;NaN;7.488855398732494e+20;2.406477535689391e+01;NaN;2.479296373445645e+03
6.288824188932652e-01;4.036581904678489e+18;8.817707410139686e+00;NaN;7.456586528884887e+20;2.329930808128433e+01;NaN;2.345953847106292e+03
6.393962018996865e-01;7.782339999610708e+18;2.212734406331098e+01;NaN;8.176061827333528e+20;1.938248851903370e+01;NaN;2.315020277959964e+03
6.444895360993572e-01;0.000000000000000e+00;NaN;NaN;3.890005891097108e+20;1.421597458732421e+01;NaN;1.682420427610199e+03
6.495423367435241e-01;1.985195161833268e+19;2.351716149005035e+01;NaN;8.614571062904061e+20;1.949602404123899e+01;NaN;2.373537419778845e+03
6.590094051627661e-01;5.099021355342346e+19;2.315816595503376e+01;NaN;9.338731970102546e+20;1.873602831962152e+01;NaN;2.580843714761591e+03
6.645936879182079e-01;6.572711647978365e+19;2.841352378085307e+01;NaN;8.832453826769693e+20;2.082770740531650e+01;NaN;2.701959310129967e+03
6.695918273105915e-01;9.227112680932123e+19;2.294939957977595e+01;NaN;9.916076383747462e+20;1.991971591769754e+01;NaN;3.041798708546726e+03
6.783145662683023e-01;6.074436029076197e+19;2.141732967721177e+01;NaN;1.057650672313387e+21;1.834167627503129e+01;NaN;3.333898701626123e+03
6.834175308061823e-01;9.314191986562115e+19;1.768344862256236e+01;NaN;1.171787842983500e+21;1.839512627401070e+01;NaN;3.422663238794199e+03
6.881026229062193e-01;2.337737311040844e+20;2.433897734459609e+01;NaN;1.043169914217292e+21;1.884201739538178e+01;NaN;3.968091339370875e+03
6.957997358524409e-01;2.532599150326471e+20;2.335506921697694e+01;NaN;1.099708491370072e+21;1.862717726136519e+01;NaN;4.064472731022571e+03
6.999294065045440e-01;5.922471410240227e+20;2.403405104247516e+01;NaN;1.087150310228663e+21;1.880865490297577e+01;NaN;5.492839731469729e+03
7.046036503701563e-01;4.812293995362462e+20;2.438835082060216e+01;NaN;1.312910965793810e+21;1.929574267767914e+01;NaN;5.759098303362265e+03
7.104451952030111e-01;5.220589290989474e+20;2.633463386633383e+01;NaN;1.386750673907305e+21;1.873117575003820e+01;NaN;5.867177272452496e+03
7.138966885644596e-01;8.585513225131582e+20;2.635002810173060e+01;NaN;1.548280552585247e+21;1.625384719118099e+01;NaN;8.580583849858427e+03
7.182432415040987e-01;9.910691121468943e+20;2.816281493549248e+01;NaN;1.531511770026812e+21;1.801178393904695e+01;NaN;8.456751348228636e+03
7.227039321185542e-01;9.846459241068871e+20;2.795951724347978e+01;NaN;1.749050939900849e+21;1.681447299222618e+01;NaN;8.314713793597259e+03
7.257217095519308e-01;1.688477962472861e+21;2.664069730970017e+01;NaN;1.873915343757536e+21;1.739909286544426e+01;NaN;1.293234272630995e+04
7.309124404001006e-01;1.772814370400742e+21;2.740902970771431e+01;NaN;1.923737944054477e+21;1.840809545503759e+01;NaN;1.354720568974718e+04
7.392767341320698e-01;2.773499485372530e+21;2.829036007767731e+01;NaN;2.261734224705529e+21;1.781728956590984e+01;NaN;1.912255532834583e+04
7.476580380599591e-01;4.369304633842313e+21;2.900678005663229e+01;NaN;2.609044867598069e+21;1.758760648717646e+01;NaN;2.744059064872324e+04
7.547028537389382e-01;5.828431576988162e+21;2.863498148061336e+01;NaN;3.129158716130263e+21;1.699337679127630e+01;NaN;3.618673509533871e+04
7.606597497237264e-01;7.614692776956529e+21;2.843952024109177e+01;NaN;3.604301731880346e+21;1.773690877616571e+01;NaN;4.635252621519389e+04
7.657531186515272e-01;8.542193931479735e+21;2.831735756454126e+01;NaN;4.065160096106419e+21;1.714438550669093e+01;NaN;5.093179350608768e+04
7.699995984224914e-01;9.976382217455168e+21;2.809381024666986e+01;NaN;4.717630495397272e+21;1.698350487674608e+01;NaN;5.983234674641767e+04
7.732995875768670e-01;1.217965595913833e+22;2.840300822147543e+01;NaN;5.031386069037732e+21;1.762088523240103e+01;NaN;6.817474551956748e+04
7.757792307381750e-01;1.273645050514186e+22;2.790650310908141e+01;NaN;5.355086186006173e+21;1.604735893961457e+01;NaN;7.088794532873639e+04
7.781651986040994e-01;1.327797115381961e+22;2.785544552275631e+01;NaN;5.957489048219992e+21;1.659166209034960e+01;NaN;7.478475136704696e+04
7.809578364250076e-01;1.415323776255936e+22;2.739046287121046e+01;NaN;6.214421607096447e+21;1.664479814640113e+01;NaN;7.711088988832287e+04
7.838487328758749e-01;1.514948474028816e+22;2.698639073327982e+01;NaN;6.894416101487998e+21;1.625660028220184e+01;NaN;8.310625298032889e+04
7.869855628995210e-01;1.520157446412821e+22;2.704298324359155e+01;NaN;7.256275146617286e+21;1.721074057906638e+01;NaN;8.670805373844841e+04
7.904037845192172e-01;1.630197706972171e+22;2.662778721328193e+01;NaN;7.689275020399259e+21;1.637439397100768e+01;NaN;9.094695466730362e+04
7.939471374889502e-01;1.708384818710956e+22;2.638068688031453e+01;NaN;8.767322395225896e+21;1.663107520967967e+01;NaN;9.702070277947745e+04
7.975090120093709e-01;1.890169870022487e+22;2.587297126773501e+01;NaN;9.265251304890439e+21;1.653074255391954e+01;NaN;1.053448919062370e+05
8.011264668496416e-01;1.995331559121544e+22;2.585476101726610e+01;NaN;1.008199199408673e+22;1.675342049511318e+01;NaN;1.131579317570953e+05
8.049890280430786e-01;2.077801241940391e+22;2.568249329715357e+01;NaN;1.074890209145680e+22;1.632971185147550e+01;NaN;1.130863637757865e+05
8.091930285177138e-01;2.026673366930200e+22;2.546986861032792e+01;NaN;1.152638099033049e+22;1.624066637737013e+01;NaN;1.132521649177045e+05
8.136823963570012e-01;2.098465355164443e+22;2.547355258860102e+01;NaN;1.162777342939531e+22;1.586341266304652e+01;NaN;1.160219230304194e+05
8.183225076652748e-01;2.064629124621058e+22;2.475390150434519e+01;NaN;1.139499235610527e+22;1.555012568766925e+01;NaN;1.127251365963688e+05
8.231650781773978e-01;1.880339094371570e+22;2.462051788947594e+01;NaN;1.100214170884452e+22;1.603023405240858e+01;NaN;1.018545681542663e+05
8.282210739282279e-01;1.379753976397388e+22;2.328767553741213e+01;NaN;1.045045178205552e+22;1.586910066478859e+01;NaN;7.807165276559585e+04
8.323762231342043e-01;9.808564116985167e+21;2.256950339770843e+01;NaN;8.997125676095375e+21;1.560324831385944e+01;NaN;5.680144696952681e+04
8.360874887662642e-01;6.641325691429865e+21;2.100339739637947e+01;NaN;8.720614724458573e+21;1.520730594705513e+01;NaN;4.173827880390031e+04
8.416142959085945e-01;3.622895497172487e+21;1.918047940129366e+01;NaN;7.462965872564748e+21;1.504548438804697e+01;NaN;2.741839932571547e+04
