t(s),Flux surface 10: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
100000.0,-8099.946663291851,1186096165.580483,3519874759650446.5,16602325250.615198,17043446236.606813,4.229190740906867e+17,592910.8908112111,696994613.5703155,4.2642483123270605e+17,14142700466891.148,9260522548.059544
220000.0,-63941.78269168724,998906667.2446246,4265953810498244.0,157127114292.88882,170229321535.68088,7.6426022838867e+17,5622274.188394209,7085408289.499457,7.683948029431667e+17,131615892936414.25,97810531798.58133
364000.0,-237608.41569247408,920725079.3955598,4686992348892889.0,721977886624.8667,819515299904.6019,1.1122992004098679e+18,25887279.44129912,34713086901.45535,1.116387668798656e+18,599611153774227.9,489038499879.8944
536800.0,-576738.4413320938,875816505.0248544,4993290734222891.0,2220132219905.2676,2618283883658.5264,1.4873975495940664e+18,79780574.02996059,112829027690.2146,1.4905534488128584e+18,1840745293009997.8,1597547326941.1267
744160.0,-1062018.779708475,844168016.6314313,5242364740727202.0,5259599259127.767,6391831863016.192,1.9017288875684675e+18,189441392.29660523,280112337873.7333,1.9026010451967726e+18,4378201369655715.5,3937475663134.9683
992992.0,-1623431.0238346662,818404919.3369817,5458057785607886.0,10400215331527.139,12930225127718.303,2.365672294318125e+18,375501193.095741,576047893243.0217,2.3624144323799793e+18,8731862154029870.0,7964433564892.132
1291590.4,-2188562.199161936,795651878.4643998,5652846319219214.0,18061831924417.945,22837600840718.73,2.8894946196984996e+18,653756721.3381644,1033997611741.1017,2.8798243869215964e+18,1.5351042919323614e+16,13970260932362.598
1649908.48,-2714237.586260425,774836436.5321844,5834415566859044.0,28508125184859.57,36492172466621.92,3.4839468155078794e+18,1034532093.6520921,1678782532785.1213,3.465226834951877e+18,2.4598997150290732e+16,22079087284033.63
2079890.176,-3189165.165051114,755515631.267334,6008079377269508.0,41875147203286.81,54082364316406.99,4.160467179566677e+18,1523654920.3442085,2527714419145.936,4.129771822161401e+18,3.6769612816668616e+16,32310715462769.297
2595868.2112,-3621585.5149029717,737356757.7679758,6177754109452796.0,58207735537696.414,75662138291332.67,4.93119703193245e+18,2123735111.709216,3592744978436.345,4.885355728307737e+18,5.211186838416176e+16,44654092544317.7
3215041.8534399997,-4026201.864849983,719968719.4487634,6346355767782471.0,77482147108950.16,101188657361065.84,5.808898111502864e+18,2834965671.527694,4882053273673.4,5.744522124804291e+18,7.0846784059714024e+16,59114099425331.91
3958050.2241279995,-4416036.59349266,702907882.5045291,6515964962933569.0,99609383779513.86,130531557582587.86,6.80682513289867e+18,3655235503.807223,6400459861341.044,6.720330130207269e+18,9.317178950303555e+16,75723207724568.77
4849660.268953599,-4799068.206098082,685737797.9292027,6687906935012519.0,124424014821021.88,163460170922645.06,7.938595436219233e+18,4579714984.20911,8148818965783.402,7.826230452529821e+18,1.1925440115823613e+17,94527050664305.77
5919592.322744318,-5177772.603447472,668074912.8370942,6862807291490073.0,151667945463669.03,199622339488884.56,9.218099491195117e+18,5600245222.270841,10122907477857.787,9.075987429123089e+18,1.4922073104463658e+17,115557111698276.62
7203510.787293182,-5549957.737899487,649601664.4157739,7040649534593275.0,180979134655476.25,238529135850538.78,1.0659505636972993e+19,6704887154.401431,12312412416999.9,1.0483693855842777e+19,1.8314545877171197e+17,138799280791782.4
8744212.944751818,-5909999.904645482,630059544.8463337,7220850835785835.0,211893301596668.5,279556784083000.75,1.227742085356587e+19,7877922039.099613,14700536225987.059,1.2063934383365427e+19,2.2104931919067395e+17,164160345319666.5
10593055.53370218,-6250137.987743424,609242161.4436368,7402369541573326.0,243863248371657.44,321972170572996.8,1.408726565083064e+19,9100478032.11649,17264568326704.271,1.3832151284335682e+19,2.6290841472284326e+17,191430401429524.8
