Incident_energy;Reflection_coeff;Implantation_range;Implantation_straggle;theta_inc
10;0.522;8.00E-10;4.00E-10;0
20;0.552;1.20E-09;6.00E-10;0
30;0.558;1.50E-09;8.00E-10;0
40;0.561;1.70E-09;9.00E-10;0
50;0.560;1.90E-09;1.10E-09;0
60;0.560;2.20E-09;1.20E-09;0
70;0.560;2.40E-09;1.30E-09;0
80;0.560;2.60E-09;1.40E-09;0
90;0.559;2.70E-09;1.50E-09;0
100;0.559;2.90E-09;1.60E-09;0
125;0.555;3.30E-09;1.80E-09;0
150;0.550;3.70E-09;2.00E-09;0
175;0.548;4.10E-09;2.20E-09;0
200;0.545;4.40E-09;2.40E-09;0
225;0.540;4.70E-09;2.60E-09;0
250;0.539;5.00E-09;2.80E-09;0
275;0.535;5.30E-09;2.90E-09;0
300;0.534;5.60E-09;3.10E-09;0
325;0.530;5.90E-09;3.20E-09;0
350;0.523;6.20E-09;3.40E-09;0
375;0.525;6.40E-09;3.50E-09;0
400;0.521;6.70E-09;3.70E-09;0
450;0.516;7.20E-09;4.00E-09;0
500;0.513;7.70E-09;4.20E-09;0
550;0.510;8.20E-09;4.50E-09;0
600;0.507;8.70E-09;4.80E-09;0
650;0.499;9.10E-09;5.00E-09;0
700;0.495;9.60E-09;5.20E-09;0
750;0.494;1.00E-08;5.50E-09;0
800;0.490;1.04E-08;5.70E-09;0
850;0.485;1.09E-08;5.90E-09;0
900;0.483;1.13E-08;6.20E-09;0
950;0.479;1.17E-08;6.40E-09;0
1000;0.480;1.21E-08;6.60E-09;0
1200;0.467;1.37E-08;7.40E-09;0
1400;0.456;1.51E-08;8.20E-09;0
10;0.618;8.00E-10;4.00E-10;45
20;0.635;1.10E-09;6.00E-10;45
30;0.643;1.40E-09;8.00E-10;45
40;0.643;1.70E-09;9.00E-10;45
50;0.643;1.90E-09;1.00E-09;45
60;0.642;2.10E-09;1.20E-09;45
70;0.640;2.30E-09;1.30E-09;45
80;0.639;2.50E-09;1.40E-09;45
90;0.638;2.70E-09;1.50E-09;45
100;0.638;2.80E-09;1.50E-09;45
125;0.634;3.20E-09;1.80E-09;45
150;0.628;3.60E-09;2.00E-09;45
175;0.628;3.90E-09;2.20E-09;45
200;0.624;4.30E-09;2.30E-09;45
225;0.619;4.60E-09;2.50E-09;45
250;0.620;4.90E-09;2.70E-09;45
275;0.613;5.20E-09;2.90E-09;45
300;0.611;5.50E-09;3.00E-09;45
325;0.610;5.70E-09;3.20E-09;45
350;0.608;6.00E-09;3.30E-09;45
