# x,ne,Te,Ti,Wtot,Wpart,Wrad,Wpls,Wneut,xMP,Rclfc,Zclfc,Wpar_xpt,WWpar,WWtrg,Lcnnt,Lcnnx,f0,D_flux_atm,D_temp_atm,D_pres_atm,He_flux_atm,He_temp_atm,He_pres_atm,Ne_flux_atm,Ne_temp_atm,Ne_pres_atm,D_flux_ion,He_flux_ion,Ne_flux_ion,D2_flux_mol,D2_pres_mol
-8.920699999999999463e-02,1.151400000000000000e+19,1.335800000000000043e-01,1.363199999999999967e-01,1.240200000000000000e+05,9.636200000000000728e+03,1.143800000000000000e+05,5.149600000000000364e+03,4.486600000000000364e+03,-3.123299999999999965e-01,4.179599999999999760e+00,-3.883900000000000130e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,7.127729999999999672e+21,3.809139999999999748e-01,1.865400000000000114e-01,4.170520000000000262e+21,5.364309999999999912e-01,3.145950000000000135e-01,2.377860000000000000e+20,1.099699999999999983e-01,1.647579999999999878e-02,1.922630000000000066e+21,7.824710000000000000e+19,1.022040000000000000e+19,1.834749999999999845e+23,5.838750000000000107e+00
-7.914200000000000401e-02,1.991000000000000000e+19,1.630999999999999950e-01,1.648900000000000088e-01,1.408300000000000000e+05,1.808400000000000000e+04,1.227500000000000000e+05,9.682500000000000000e+03,8.401100000000000364e+03,-2.928399999999999892e-01,4.184000000000000163e+00,-3.874899999999999789e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,4.862230000000000066e+21,1.436630000000000129e-01,7.538169999999999593e-02,1.520299999999999921e+22,3.550809999999999800e-01,9.410990000000000189e-01,2.850380000000000000e+20,1.445480000000000098e-01,2.067980000000000165e-02,3.664819999999999869e+21,1.221810000000000000e+20,1.575730000000000000e+19,1.795920000000000147e+23,6.126739999999999853e+00
-6.914499999999999813e-02,3.998500000000000000e+19,2.396600000000000119e-01,2.387900000000000023e-01,1.815500000000000000e+05,4.944000000000000000e+04,1.321100000000000000e+05,2.392700000000000000e+04,2.551200000000000000e+04,-2.724699999999999900e-01,4.188399999999999679e+00,-3.865899999999999892e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,1.595200000000000000e+22,6.574860000000000149e-01,2.687510000000000177e-01,1.101839999999999895e+22,1.265129999999999866e-01,3.283280000000000087e-01,2.150550000000000000e+20,1.296059999999999990e-01,1.723260000000000070e-02,9.078520000000000262e+21,2.433290000000000000e+20,3.052230000000000000e+19,1.501979999999999984e+23,6.158890000000000420e+00
-5.935200000000000198e-02,6.822200000000000000e+19,2.985900000000000221e-01,2.947500000000000120e-01,2.119000000000000000e+05,6.906300000000000000e+04,1.428400000000000000e+05,4.603000000000000000e+04,2.303300000000000000e+04,-2.511800000000000144e-01,4.192700000000000315e+00,-3.857099999999999973e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,1.969409999999999987e+22,3.193579999999999752e-01,6.128730000000000011e-01,7.322909999999999803e+21,2.157010000000000038e-01,2.920710000000000250e-01,1.660050000000000000e+20,1.660300000000000109e-01,1.662069999999999867e-02,1.719570000000000092e+22,3.935609999999999672e+20,4.708300000000000000e+19,1.804259999999999848e+23,8.157569999999999766e+00
-4.989699999999999691e-02,8.887300000000000000e+19,3.428700000000000081e-01,3.438599999999999990e-01,2.537400000000000000e+05,9.781000000000000000e+04,1.559300000000000000e+05,6.392300000000000000e+04,3.388700000000000000e+04,-2.292599999999999916e-01,4.196799999999999642e+00,-3.848599999999999799e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,1.519200000000000000e+22,4.404620000000000202e-01,4.851429999999999909e-01,4.521360000000000000e+21,4.847699999999999787e-01,1.488700000000000023e-01,2.042780000000000000e+20,3.317010000000000236e-01,3.666679999999999939e-02,2.377239999999999843e+22,4.966080000000000000e+20,5.542900000000000000e+19,1.523210000000000102e+23,8.013109999999999289e+00
-4.083099999999999924e-02,1.487100000000000000e+20,4.346200000000000063e-01,4.337400000000000144e-01,3.356600000000000000e+05,1.633600000000000000e+05,1.723000000000000000e+05,1.247300000000000000e+05,3.862500000000000000e+04,-2.066000000000000059e-01,4.200800000000000090e+00,-3.840500000000000025e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,3.039920000000000105e+22,5.465179999999999483e-01,1.193629999999999969e+00,1.617049999999999934e+21,3.404960000000000209e-01,2.111570000000000114e-01,2.307310000000000000e+20,2.167409999999999892e-01,2.590809999999999988e-02,4.501519999999999895e+22,8.786910000000000328e+20,9.004830000000000000e+19,1.773010000000000134e+23,1.086260000000000048e+01
-3.232800000000000257e-02,2.402300000000000000e+20,5.272400000000000420e-01,5.271500000000000075e-01,5.442200000000000000e+05,3.508300000000000000e+05,1.933900000000000000e+05,2.289700000000000000e+05,1.218600000000000000e+05,-1.827999999999999903e-01,4.204500000000000348e+00,-3.832800000000000207e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,5.273619999999999869e+22,7.971510000000000540e-01,2.021609999999999907e+00,5.057910000000000066e+21,7.227310000000000123e-01,6.003490000000000215e-01,2.627730000000000000e+20,2.621560000000000001e-01,3.563009999999999788e-02,7.988129999999999777e+22,1.536080000000000000e+21,1.415590000000000000e+20,2.238170000000000081e+23,1.355180000000000007e+01
-2.450499999999999901e-02,3.870500000000000000e+20,5.815200000000000369e-01,5.816799999999999748e-01,7.545800000000000000e+05,5.330600000000000000e+05,2.215200000000000000e+05,3.842600000000000000e+05,1.488000000000000000e+05,-1.582600000000000118e-01,4.208000000000000185e+00,-3.825800000000000090e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,9.706550000000000485e+22,7.244420000000000304e-01,4.792729999999999713e+00,1.905649999999999934e+21,5.217549999999999688e-01,4.079720000000000013e-01,2.430780000000000000e+20,3.534539999999999904e-01,5.572909999999999670e-02,1.316140000000000047e+23,2.623650000000000197e+21,2.134210000000000000e+20,3.628079999999999685e+23,2.247899999999999920e+01
-1.738299999999999915e-02,6.107400000000000000e+20,5.953000000000000513e-01,5.952800000000000313e-01,1.181100000000000000e+06,9.158100000000000000e+05,2.652500000000000000e+05,6.103300000000000000e+05,3.054800000000000000e+05,-1.325900000000000134e-01,4.211100000000000065e+00,-3.819399999999999906e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,1.492880000000000063e+23,8.491520000000000179e-01,8.454810000000000159e+00,1.421319999999999948e+22,6.187489999999999934e-01,1.642560000000000020e+00,3.069950000000000328e+20,3.289259999999999962e-01,5.593689999999999773e-02,2.073250000000000113e+23,4.489840000000000000e+21,3.188390000000000328e+20,5.059430000000000170e+23,3.204699999999999704e+01
-1.111700000000000015e-02,8.466600000000000000e+20,6.152900000000000036e-01,6.127700000000000369e-01,1.601900000000000000e+06,1.278900000000000000e+06,3.229800000000000000e+05,8.445400000000000000e+05,4.343600000000000000e+05,-1.053299999999999931e-01,4.213799999999999990e+00,-3.813800000000000079e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,2.694340000000000058e+23,7.783029999999999671e-01,1.331830000000000069e+01,3.099279999999999895e+22,7.011110000000000397e-01,2.676509999999999945e+00,2.234500000000000000e+20,3.689459999999999962e-01,6.208759999999999973e-02,2.866069999999999856e+23,6.979520000000000000e+21,4.363129999999999672e+20,8.529619999999999617e+23,5.132309999999999661e+01
