# x,ne,Te,Ti,Wtot,Wpart,Wrad,Wpls,Wneut,xMP,Rclfc,Zclfc,Wpar_xpt,WWpar,WWtrg,Lcnnt,Lcnnx,f0,D_flux_atm,D_temp_atm,D_pres_atm,He_flux_atm,He_temp_atm,He_pres_atm,Ne_flux_atm,Ne_temp_atm,Ne_pres_atm,D_flux_ion,He_flux_ion,Ne_flux_ion,D2_flux_mol,D2_pres_mol
-1.035299999999999970e-01,1.612600000000000000e+19,1.616499999999999881e-01,1.696600000000000052e-01,6.241000000000000000e+04,1.679600000000000000e+04,4.561400000000000000e+04,6.724199999999999818e+03,1.007100000000000000e+04,-3.123299999999999965e-01,5.554299999999999571e+00,-4.496299999999999741e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,3.450310000000000066e+21,6.152840000000000531e-01,3.011700000000000141e-02,5.698810000000000000e+19,1.792940000000000089e-01,1.411630000000000090e-03,3.137100000000000000e+20,1.161520000000000052e-01,2.194669999999999954e-02,2.798380000000000131e+21,1.488690000000000000e+19,8.640700000000000000e+18,1.347500000000000047e+23,3.977269999999999861e+00
-9.205699999999999994e-02,2.866100000000000000e+19,1.950300000000000089e-01,1.964599999999999957e-01,6.820400000000000000e+04,1.904000000000000000e+04,4.916400000000000000e+04,1.335300000000000000e+04,5.686800000000000182e+03,-2.928399999999999892e-01,5.554299999999999571e+00,-4.484899999999999665e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,1.321249999999999934e+21,6.139839999999999742e-01,1.617760000000000031e-02,2.866070000000000000e+19,3.066470000000000029e-01,3.652840000000000253e-02,3.926609999999999672e+20,1.440470000000000084e-01,3.186660000000000187e-02,5.473760000000000000e+21,2.604100000000000000e+19,1.502090000000000000e+19,1.240399999999999979e+23,4.144110000000000404e+00
-8.064300000000000634e-02,4.076400000000000000e+19,2.229800000000000115e-01,2.239899999999999947e-01,8.777800000000000000e+04,3.507700000000000000e+04,5.270100000000000000e+04,1.974000000000000000e+04,1.533700000000000000e+04,-2.724699999999999900e-01,5.554299999999999571e+00,-4.473499999999999588e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,9.376110000000000328e+21,7.876900000000000013e-01,5.219740000000000490e-01,1.176950000000000066e+21,4.654570000000000096e-01,8.833699999999999886e-03,2.248360000000000000e+20,1.540509999999999935e-01,1.628299999999999886e-02,8.106949999999999541e+21,3.350840000000000000e+19,1.910030000000000000e+19,1.274640000000000063e+23,4.357300000000000395e+00
-6.943299999999999472e-02,6.752300000000000000e+19,3.132800000000000029e-01,3.157300000000000106e-01,1.221800000000000000e+05,6.570600000000000000e+04,5.647400000000000000e+04,3.981700000000000000e+04,2.588900000000000000e+04,-2.511800000000000144e-01,5.554299999999999571e+00,-4.462200000000000166e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,5.181690000000000459e+21,7.008229999999999738e-01,3.204210000000000114e-01,2.976720000000000000e+19,7.607869999999999910e-01,4.672179999999999736e-03,1.930400000000000000e+20,2.081179999999999974e-01,2.031000000000000166e-02,1.592160000000000000e+22,5.888230000000000000e+19,3.292300000000000000e+19,1.212419999999999974e+23,5.176190000000000069e+00
-5.850899999999999851e-02,9.330100000000000000e+19,4.023700000000000054e-01,4.043200000000000127e-01,1.657100000000000000e+05,1.048500000000000000e+05,6.086500000000000000e+04,6.332100000000000000e+04,4.152500000000000000e+04,-2.292599999999999916e-01,5.554299999999999571e+00,-4.451299999999999812e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,8.710149999999999541e+21,6.073079999999999590e-01,2.060079999999999967e-01,1.110110000000000066e+21,4.269319999999999782e-01,3.314009999999999873e-02,1.665840000000000000e+20,2.206529999999999880e-01,1.693760000000000057e-02,2.441119999999999790e+22,8.371920000000000000e+19,4.554500000000000000e+19,1.561729999999999987e+23,7.638020000000000032e+00
-4.802300000000000318e-02,1.563000000000000000e+20,4.869399999999999840e-01,4.906900000000000150e-01,2.243400000000000000e+05,1.577300000000000000e+05,6.660500000000000000e+04,1.205400000000000000e+05,3.718900000000000000e+04,-2.066000000000000059e-01,5.554299999999999571e+00,-4.440800000000000303e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,1.651420000000000026e+22,5.544179999999999664e-01,6.769460000000000477e-01,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,1.480270000000000000e+20,2.632090000000000263e-01,2.188330000000000136e-02,4.512919999999999843e+22,1.474210000000000000e+20,7.760290000000000000e+19,1.542489999999999913e+23,7.465749999999999886e+00
-3.810600000000000098e-02,2.350400000000000000e+20,5.935000000000000275e-01,5.957200000000000273e-01,3.497900000000000000e+05,2.757800000000000000e+05,7.401300000000000000e+04,1.999900000000000000e+05,7.578800000000000000e+04,-1.827999999999999903e-01,5.554299999999999571e+00,-4.430900000000000283e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,3.705390000000000118e+22,8.255719999999999725e-01,1.703689999999999927e+00,1.015730000000000000e+20,1.999259999999999926e-01,3.716350000000000209e-03,1.583050000000000000e+20,3.482799999999999785e-01,3.168390000000000095e-02,7.304530000000000301e+22,2.343850000000000000e+20,1.187240000000000000e+20,1.846079999999999916e+23,1.219740000000000002e+01
-2.885499999999999871e-02,3.866800000000000000e+20,6.954599999999999671e-01,6.971500000000000474e-01,5.533600000000000000e+05,4.690200000000000000e+05,8.434200000000000000e+04,3.658400000000000000e+05,1.031800000000000000e+05,-1.582600000000000118e-01,5.554299999999999571e+00,-4.421700000000000408e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,7.924360000000000786e+22,8.579930000000000057e-01,4.037169999999999703e+00,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,1.720250000000000000e+20,3.421379999999999977e-01,4.430850000000000066e-02,1.287969999999999945e+23,4.053670000000000328e+20,1.963160000000000000e+20,2.283209999999999851e+23,1.539939999999999998e+01
-2.054500000000000076e-02,6.153900000000000655e+20,7.503600000000000270e-01,7.528299999999999992e-01,8.932900000000000000e+05,7.924700000000000000e+05,1.008200000000000000e+05,6.071500000000000000e+05,1.853200000000000000e+05,-1.325900000000000134e-01,5.554299999999999571e+00,-4.413400000000000212e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,1.302529999999999987e+23,9.827939999999999454e-01,9.048939999999999984e+00,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,3.088540000000000000e+20,3.570690000000000253e-01,5.869739999999999680e-02,2.095860000000000079e+23,6.607230000000000328e+20,3.050860000000000000e+20,3.395719999999999780e+23,2.255809999999999960e+01
-1.319299999999999987e-02,9.235100000000000655e+20,8.256000000000000005e-01,8.248499999999999721e-01,1.457700000000000000e+06,1.331100000000000000e+06,1.265600000000000000e+05,9.588700000000000000e+05,3.722600000000000000e+05,-1.053299999999999931e-01,5.554299999999999571e+00,-4.405999999999999694e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,2.608099999999999848e+23,1.082789999999999919e+00,1.727929999999999922e+01,0.000000000000000000e+00,5.140099999999999669e-01,3.510110000000000313e-02,3.411009999999999672e+20,4.207480000000000109e-01,8.364599999999999813e-02,3.241500000000000152e+23,1.025260000000000000e+21,4.514550000000000328e+20,4.554530000000000280e+23,3.845859999999999701e+01
