              s_cell [m];   flux_inc_ion [m-2.s-1];   flux_imp_ion [m-2.s-1];           E_imp_ion [eV];        alpha_V_ion [deg];  flux_inc_atom [m-2.s-1];  flux_imp_atom [m-2.s-1];          E_imp_atom [eV];       alpha_V_atom [deg];  net_energy_flux [W.m-2]
   5.722639767595434e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    4.142995384430121e+20;    3.275818182325043e+16;    1.975975214348670e+02;    4.341076844030611e+01;    2.446835766389768e+03
   5.744146521586622e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    3.377842062217111e+20;    6.963807907842061e+19;    1.446533943065945e+02;    4.281000419001787e+01;    3.522821845747865e+03
   5.784873374468358e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    4.046675237857747e+20;    6.083347176459993e+19;    1.620090588280025e+02;    3.861599815740621e+01;    3.999865907162449e+03
   5.823723405496724e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    2.477383244038819e+20;    1.043042595019221e+20;    1.283131898522597e+02;    4.062437134109106e+01;    3.109028537761940e+03
   5.844069540392138e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    2.199651166660995e+20;    8.331280757617322e+19;    8.775726628841336e+01;    5.160789385651753e+01;    1.277912343008492e+03
   5.870364387664093e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    4.148281241953936e+20;    9.041091190992673e+19;    1.529625804421763e+02;    4.103148160963409e+01;    4.040852731508588e+03
   5.918055752515802e-01;    1.154570214286152e+19;    0.000000000000000e+00;    3.596258797771030e+01;    2.807690909819240e+01;    3.863029817119522e+20;    8.121510822860856e+19;    1.503471499060630e+02;    4.105105606943368e+01;    3.618194925886660e+03
   5.948232584294588e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    4.411139798376684e+20;    7.211508248235088e+19;    1.398254756845220e+02;    4.205171557360813e+01;    3.229443488308838e+03
   5.974426318333550e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    3.336013345182242e+20;    6.043311275924465e+19;    9.988130229259552e+01;    3.932175301565866e+01;    2.077792663539540e+03
   6.021170396033002e-01;    3.052335690981583e+18;    0.000000000000000e+00;    5.244323185270253e+00;    2.577243319897914e+01;    4.142438333648198e+20;    8.001966842164176e+19;    1.349071651156441e+02;    3.995826922622432e+01;    3.821079762680698e+03
