s_cell [m];flux_inc_ion [m-2.s-1];E_imp_ion [eV];alpha_V_ion [deg];flux_inc_atom [m-2.s-1];E_imp_atom [eV];alpha_V_atom [deg];net_energy_flux [W.m-2]
5.713959183633919e-01;0.000000000000000e+00;NaN;NaN;2.338303275468820e+21;1.877733539701259e+01;NaN;8.065008062894053e+03
5.741881384659409e-01;0.000000000000000e+00;NaN;NaN;2.032554736597129e+21;1.970735903116203e+01;NaN;7.167963302727699e+03
5.788294445512920e-01;0.000000000000000e+00;NaN;NaN;1.933063025038659e+21;2.111505765319334e+01;NaN;7.914829963356494e+03
5.844813744780388e-01;0.000000000000000e+00;NaN;NaN;1.963346220515351e+21;2.404556056567426e+01;NaN;7.990138299298074e+03
5.895001350316618e-01;0.000000000000000e+00;NaN;NaN;9.507985051281115e+20;1.854393419116262e+01;NaN;2.501948770914763e+03
5.958303396743118e-01;1.168031359366550e+19;4.348161787261035e+01;NaN;1.005711906894476e+21;2.208811405358330e+01;NaN;2.540235553880667e+03
6.059607146042290e-01;0.000000000000000e+00;Inf;NaN;1.154608224600957e+21;2.314672435016990e+01;NaN;3.325354164223896e+03
6.161914304398897e-01;2.076914835759417e+18;0.000000000000000e+00;NaN;1.091672772070185e+21;2.238821358491149e+01;NaN;3.020512867384983e+03
6.218569781585004e-01;1.896685511366446e+19;2.546086277174239e+01;NaN;1.172999418511530e+21;2.077656657326090e+01;NaN;3.279065016312972e+03
6.288824188932652e-01;1.937836983669846e+19;4.584326904568799e+01;NaN;1.418807775369137e+21;1.882406535218350e+01;NaN;3.253463400028041e+03
6.393962018996865e-01;1.636896856688094e+19;3.234841349924512e+01;NaN;1.380743414704200e+21;1.826220955814465e+01;NaN;3.560594549596780e+03
6.444895360993572e-01;0.000000000000000e+00;NaN;NaN;1.321423193766083e+21;1.435284815264725e+01;NaN;3.667980950436586e+03
6.495423367435241e-01;2.626055593482865e+19;4.885143760074706e+01;NaN;1.399384861052222e+21;2.440458112709279e+01;NaN;4.441154038444668e+03
6.590094051627661e-01;3.945253380349571e+19;2.088800013450071e+01;NaN;1.420111580433379e+21;2.318535409710383e+01;NaN;4.330805415725153e+03
6.645936879182079e-01;4.733559657823678e+19;3.108249612010347e+01;NaN;1.584077265923494e+21;1.547217777955115e+01;NaN;3.731073845093570e+03
6.695918273105915e-01;1.261070383081926e+20;2.665758617400597e+01;NaN;1.577971760944605e+21;2.075027424050906e+01;NaN;4.946608289601936e+03
6.783145662683023e-01;2.228921650208025e+20;2.138697972982309e+01;NaN;1.944625410405945e+21;1.694143056609604e+01;NaN;5.068320303516786e+03
6.834175308061823e-01;0.000000000000000e+00;Inf;NaN;1.659766929795781e+21;1.120879353482091e+01;NaN;5.160399769778253e+03
6.881026229062193e-01;4.055655994540261e+20;2.632650683066411e+01;NaN;1.888736533659073e+21;2.139314356720111e+01;NaN;6.888680629546157e+03
