t(s),Flux surface 10: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
100000.0,-1.699837656426086e-22,5005835248.436752,1687975165226361.2,1.4697079336560963e-14,3.0148037056897683e-15,4.230826756823576e+19,1.2025423312530917e-18,1.9028929722295003e-15,4.230995554340085e+19,1.076588114226366e-07,-3.7320170663662255e-10
220000.0,1.9781518131612803e-22,4717626518.44265,2637154442459403.0,-3.2930543058795603e-14,-5.578408875324624e-15,6.635291568600344e+19,-2.6978041106844184e-18,-3.490653467384401e-15,6.6355552840446e+19,1.575702690601121e-08,-2.180224122735681e-09
364000.0,1.8051628645010723e-21,4598872139.214451,3420400561624443.0,-5.647761529985633e-14,-1.8917432813181435e-14,8.716713109285018e+19,-4.58944425119455e-18,-1.2054677824262971e-14,8.717055149341236e+19,-1.607914405976822e-06,-5.286487995754501e-09
536800.0,-3.610650163631939e-21,4530049590.429878,4141778002341655.5,2.0452976585011332e-13,4.998097870338529e-14,1.0713585352515265e+20,1.6658378992954465e-17,3.130857932307323e-14,1.0713999530315319e+20,-5.703511580649896e-06,-7.631543435035084e-09
744160.0,-4.164736118327476e-20,4481607049.6350765,4840492911432253.0,1.1489301558472278e-12,4.148706257652051e-13,1.2721382150236391e+20,9.380618250811738e-17,2.7073833079129666e-13,1.272186619952756e+20,-2.0820903663365136e-05,4.505884195544713e-11
992992.0,1.2486148328700438e-19,4438949792.732827,5536581982824969.0,-4.22117259920785e-12,-1.3387553456121136e-12,1.4794637177530394e+20,-3.450101793731295e-16,-8.680464524121531e-13,1.4795190835728754e+20,-0.00010543266807306099,6.025387524254515e-08
1291590.4,-5.3049036116906534e-20,4395818712.930567,6242298701130452.0,3.575765477499e-12,7.63605220189722e-13,1.697218530265947e+20,2.9327502798437293e-16,4.800636437465463e-13,1.6972809532529734e+20,-0.0003605773703288006,2.071416549494031e-07
1649908.48,-2.756532628185437e-19,4349679213.598671,6966083970209028.0,4.611039505713425e-12,2.4649645861691204e-12,1.9286145631681328e+20,3.7551217791591233e-16,1.6558660860889012e-12,1.9286842240078253e+20,-0.00060071448924614,1.6838229893361848e-07
2079890.176,3.782105101197791e-19,4299359280.419197,7714269333370986.0,-8.943109833907908e-12,-3.3676759356359668e-12,2.1765930212825904e+20,-7.244571229789226e-16,-2.125307092512078e-12,2.1766701639759223e+20,0.000496258062219426,-1.2933257756513143e-06
2595868.2112,-7.291180322045008e-20,4244404331.111244,8491921124185211.0,2.6585230668187346e-12,3.460527420180307e-13,2.4440366818187044e+20,1.985125718431112e-16,-5.444026374621688e-14,2.4441216010299562e+20,0.006408839732242962,-7.406120652851263e-06
3215041.8534399997,2.0418864285484778e-18,4185100962.83677,9303301374283932.0,-4.218511987203047e-11,-2.4757078887952206e-11,2.733899598721721e+20,-3.4870266409649453e-15,-1.7859417506300182e-11,2.7339926317354736e+20,0.024034345866058883,-2.5932723806482732e-05
3958050.2241279995,-2.6466716249728026e-17,4122481177.5797024,1.0152138132559552e+16,5.556050135488462e-10,3.3730193893415593e-10,3.049297312211196e+20,4.627051761969521e-14,2.487217231849531e-10,3.049398833592505e+20,0.06403515122725985,-7.32816433569886e-05
4849660.268953599,7.793560855402398e-17,4057969093.474765,1.1041794540809692e+16,-1.6248047535267003e-09,-9.663995656635084e-10,3.3935774960573605e+20,-1.3513603496063552e-13,-7.069769469026825e-10,3.393687914002739e+20,0.13622019779894284,-0.00017367938013030545
5919592.322744318,-6.105498341693701e-17,3992706729.983567,1.1975380011737556e+16,1.1768210693027236e-09,5.260130819696825e-10,3.7703810321944864e+20,9.6397660839572e-14,3.388906257621943e-10,3.770500785994571e+20,0.27035321489961456,-0.00037000138310480917
7203510.787293182,5.079239545504808e-18,3926922415.0739994,1.2955826445416434e+16,7.542344761374252e-11,8.817314828020928e-11,4.1836989617508555e+20,1.4191115539529397e-14,2.34669495732064e-10,4.183828520015315e+20,0.6991078589421115,-0.0008522873162406498
8744212.944751818,-9.463813518813092e-16,3859750794.896117,1.398594444660584e+16,2.1729431595861054e-08,1.874808296866884e-08,4.6379286710162326e+20,1.7711762667063408e-12,1.3452334462413657e-08,4.6380685304607166e+20,2.3745907331325866,-0.0023489242433114197
10593055.53370218,7.745093083661847e-15,3789631518.000605,1.5068470339215932e+16,-1.8662324172455375e-07,-1.6226692447688227e-07,5.1379315212050884e+20,-1.533436593936098e-11,-1.1909473273135001e-07,5.1380822059085024e+20,6.9816496722478325,-0.006188676615730676
