t(s),Flux surface 10: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
100000.0,-8.817789641830739e-06,563591137.9044756,1041000828356352.2,29.444221245963014,22.23418757017912,3.733127907040803e+17,0.001379890814897173,2.2859482969605502,3.7435379153294554e+17,-511190.69973345177,996.1684044811329
220000.0,-0.00015887821300094438,490537865.5827773,1372476010160020.5,566.9320558268612,464.5311295441294,6.330214152821802e+17,0.0266421850112175,48.80507779532597,6.343938913006488e+17,-8321899.194799886,15135.86905905374
364000.0,0.000117602026387986,450524651.13938737,1581890915651736.0,-242.78614955755822,-60.49514636163706,8.825484093905245e+17,-0.01129936117522395,-3.343904073561532,8.841303003901693e+17,-84112442.65799813,119646.95049563241
536800.0,0.0020288357969983515,421813325.3377641,1742452395316257.0,-8080.1506424006475,-7329.597590313908,1.1416137434043631e+18,-0.38395362129716554,-809.9659984483724,1.143356196094883e+18,-295640319.3768847,422011.45949482016
744160.0,-0.026748490770823745,398741296.9614588,1877094633724181.0,115630.58304943811,107854.17768601366,1.4200049160801306e+18,5.427288791931143,11527.71297527691,1.4218820103113257e+18,402575399.50018424,187953.55751195646
992992.0,-0.015289496195402066,379309353.1267087,1995887206209291.5,125386.93013557277,150925.7811521503,1.7249876002833198e+18,6.095994314243934,18283.301370600228,1.7269834874976847e+18,-8152185.7728395425,283648.0602617876
1291590.4,1.2166493896641997,362622031.4609169,2104129632817209.8,-6672341.045730384,-6813444.431112709,2.0632162754957524e+18,-312.999664522343,-739081.1618716277,2.0653204471676155e+18,-42078324293.56889,25059918.534145646
1649908.48,3.8348995154301853,348185231.63911563,2204945936969287.8,-28257342.525796343,-30952930.609172713,2.4414838552223273e+18,-1331.1938251120262,-3456297.047856877,2.443688939212076e+18,-138218834201.00653,103385093.82398242
2079890.176,-19.67165864299469,335661068.3412214,2300325810789309.0,115619191.13422681,125554454.8453591,2.867122896831019e+18,5429.677667216446,13666445.883854294,2.869422234539795e+18,988612503977.0635,-255631461.43971714
2595868.2112,-209.39248697102894,324781767.21673393,2391609133851872.0,1731442294.3417244,1989629595.8839939,3.348285183324984e+18,81594.81656832014,222813880.95855707,3.350665101894773e+18,11698861221286.238,-4353197016.244474
3215041.8534399997,-958.8999430140822,315323665.36602885,2479736675597664.5,9932948212.586527,11780556888.510834,3.8941808667984215e+18,468865.4094687347,1336392037.9620562,3.8965971536191974e+18,63497175846718.164,-24270647075.42509
3958050.2241279995,-3030.912482810672,307092500.3778192,2565390734017438.5,38958756794.76415,47331404825.70112,4.5153125906231337e+18,1841588.795742299,5426253147.25604,4.5176355567166126e+18,242608474304123.97,-92115507551.90607
4849660.268953599,-7533.329554371314,299904563.3041807,2649079463242546.5,119961323692.99138,148519633332.84555,5.22372330707998e+18,5678404.259732961,17190567791.024376,5.225636208465684e+18,736740478236892.5,-276723516475.3467
5919592.322744318,-15720.865541932431,293569657.24340415,2731190791759559.0,309466973160.35175,388855427633.13837,6.033269817937768e+18,14669094.947380722,45417380771.29335,6.034114522671426e+18,1887934142493728.0,-704329943568.5641
7203510.787293182,-28718.546491118832,287886308.7697123,2812029840218559.5,695591589699.812,884188953568.0375,6.959930994796426e+18,33019255.064721256,104180123526.72626,6.958510331030055e+18,4235958263391408.5,-1580663102268.614
8744212.944751818,-47320.70606473494,282652803.5392643,2891848425520464.0,1399396836736.7427,1794807979804.1384,8.022157033802272e+18,66528257.732883476,213311384643.15698,8.016518204520726e+18,8537296576299432.0,-3211286553190.851
10593055.53370218,-71958.25463181519,277688724.72101367,2970872665487487.5,2570408282373.6724,3319471554490.254,9.241261155579716e+18,122392212.33795567,397947936361.5468,9.228491842745014e+18,1.5752489382031672e+16,-6015931689713.729
